Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140527,30370.0,30400.0,30280.0,30360.0,2014,19635,0,0,0.0
20140528,30290.0,30350.0,30260.0,30310.0,274,19628,0,0,0.0
20140529,30340.0,30400.0,30280.0,30340.0,1637,19597,0,0,0.0
20140530,30340.0,30360.0,30260.0,30280.0,525,19499,0,0,0.0
20140602,30410.0,30410.0,30290.0,30380.0,1372,19402,0,0,0.0
20140603,30320.0,30340.0,30180.0,30240.0,1056,19142,0,0,0.0
20140604,30200.0,30270.0,30140.0,30200.0,1903,19179,0,0,0.0
20140605,30250.0,30540.0,30130.0,30310.0,4059,18955,201409,201409,0.0
20140606,30400.0,30400.0,30400.0,30400.0,605,107,0,0,-70.0
20140609,30470.0,30470.0,30470.0,30470.0,1845,108,0,0,0.0
20140610,30590.0,30590.0,30590.0,30590.0,2962,109,0,0,0.0
20140611,30610.0,30610.0,30610.0,30610.0,1303,344,0,0,0.0
20140612,30550.0,30640.0,30450.0,30560.0,2077,431,0,0,0.0
20140613,30560.0,30560.0,30560.0,30560.0,8605,824,0,0,0.0
20140616,30540.0,30540.0,30460.0,30460.0,26610,3990,0,0,0.0
20140617,30490.0,30540.0,30360.0,30500.0,15099,12017,0,0,0.0
20140618,30540.0,30720.0,30470.0,30510.0,3211,16203,0,0,0.0
20140619,30730.0,30780.0,30660.0,30690.0,866,16381,0,0,0.0
20140620,30710.0,30800.0,30640.0,30710.0,338,16400,0,0,0.0
20140623,30680.0,30680.0,30510.0,30610.0,711,16527,0,0,0.0
20140624,30630.0,30670.0,30410.0,30580.0,688,16326,0,0,0.0
20140625,30450.0,30449.0,30179.0,30269.0,1299,16429,0,0,0.0
20140626,30290.0,30289.0,29969.0,30089.0,798,16693,0,0,0.0
20140627,30150.0,30209.0,30049.0,30129.0,883,16498,0,0,0.0
20140630,30100.0,30209.0,30019.0,30139.0,1721,16323,0,0,0.0
20140701,30130.0,30399.0,30129.0,30380.0,2841,16806,0,0,0.0
20140702,30391.0,30519.0,30370.0,30460.0,1084,15740,0,0,0.0
