Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
20140603,83610.0,83635.0,83390.0,83565.0,83024,125898,0,0,0.0
20140604,83575.0,83665.0,83310.0,83590.0,85222,125721,0,0,0.0
20140605,83605.0,84185.0,83480.0,84090.0,159414,128787,201409,201409,0.0
20140606,84110.0,84715.0,84110.0,84675.0,107539,5666,0,0,-385.0
20140609,84688.0,84831.0,84567.0,84700.0,79832,6722,0,0,0.0
20140610,84658.0,84786.0,84472.0,84740.0,86321,9497,0,0,0.0
20140611,84769.0,84766.0,84105.0,84308.0,116325,13788,0,0,0.0
20140612,84282.0,84434.0,83547.0,83771.0,157784,28671,0,0,0.0
20140613,83800.0,83977.0,83582.0,83866.0,158323,48080,0,0,0.0
20140616,83880.0,84042.0,83502.0,83891.0,171636,70157,0,0,0.0
20140617,83885.0,84183.0,83653.0,84027.0,197008,104068,0,0,0.0
20140618,84041.0,84545.0,83633.0,84474.0,187030,117891,0,0,0.0
20140619,84458.0,84610.0,84276.0,84549.0,138618,119536,0,0,0.0
20140620,84518.0,84861.0,84462.0,84675.0,89013,119704,0,0,0.0
20140623,84664.0,84941.0,84427.0,84585.0,95648,116945,0,0,0.0
20140624,84533.0,84810.0,83970.0,84143.0,142754,116112,0,0,0.0
20140625,84101.0,84398.0,83880.0,84238.0,129829,118816,0,0,0.0
20140626,84242.0,84383.0,83679.0,84193.0,150604,117312,0,0,0.0
20140627,84227.0,84293.0,83820.0,84168.0,109970,118257,0,0,0.0
20140630,84152.0,84318.0,83971.0,84083.0,101197,118978,0,0,0.0
20140701,84172.0,84981.0,84132.0,84766.0,127921,130022,0,0,0.0
20140702,84790.0,84941.0,84755.0,84882.0,74316,128879,0,0,0.0
20140703,84865.0,85358.0,84820.0,85269.0,71940,129361,0,0,0.0
20140707,85232.0,85358.0,84931.0,85118.0,96822,125324,0,0,0.0
20140708,85111.0,85147.0,84368.0,84686.0,148169,116841,0,0,0.0
20140709,84689.0,85021.0,84579.0,84952.0,115993,119312,0,0,0.0
20140710,84960.0,84986.0,83996.0,84595.0,171734,117296,0,0,0.0
20140711,84568.0,84850.0,84317.0,84791.0,104415,119167,0,0,0.0
20140714,84779.0,85473.0,84774.0,85278.0,92387,126005,0,0,0.0
20140715,85296.0,85614.0,85050.0,85328.0,155734,124213,0,0,0.0
20140716,85407.0,85735.0,85346.0,85675.0,112035,129140,0,0,0.0
20140717,85598.0,85815.0,84829.0,85092.0,225044,125089,0,0,0.0
20140718,84834.0,85639.0,84563.0,85549.0,155656,126432,0,0,0.0
20140721,85497.0,85534.0,84930.0,85303.0,129487,122574,0,0,0.0
20140722,85286.0,85735.0,85272.0,85554.0,118927,127084,0,0,0.0
20140723,85502.0,85725.0,85352.0,85514.0,113589,124365,0,0,0.0
20140724,85547.0,85705.0,85216.0,85378.0,119211,125820,0,0,0.0
20140725,85276.0,85414.0,84618.0,84841.0,153145,121354,0,0,0.0
20140728,84854.0,85077.0,84427.0,84967.0,152810,122236,0,0,0.0
20140729,84959.0,85353.0,84588.0,84610.0,152813,126507,0,0,0.0
20140730,84627.0,85016.0,84141.0,84489.0,197934,123093,0,0,0.0
20140731,84496.0,84494.0,82820.0,82847.0,259899,127474,0,0,0.0
20140801,82924.0,83123.0,82227.0,82455.0,264260,120306,0,0,0.0
20140804,82522.0,83018.0,82267.0,82807.0,137625,116371,0,0,0.0
20140805,82818.0,82877.0,81870.0,82204.0,208339,116381,0,0,0.0
20140806,82220.0,82586.0,81734.0,82350.0,163035,112741,0,0,0.0
20140807,82341.0,82671.0,81774.0,81978.0,189198,111817,0,0,0.0
20140808,81984.0,82887.0,81412.0,82772.0,191258,109528,0,0,0.0
20140811,82773.0,83284.0,82748.0,82953.0,123185,112419,0,0,0.0
20140812,83004.0,83179.0,82703.0,82973.0,117009,109570,0,0,0.0
20140813,83064.0,83551.0,82974.0,83475.0,104203,109800,0,0,0.0
20140814,83511.0,83842.0,83366.0,83791.0,88903,109797,0,0,0.0
20140815,83817.0,84093.0,83065.0,83535.0,192631,109729,0,0,0.0
20140818,83712.0,84460.0,83668.0,84349.0,97639,107741,0,0,0.0
20140819,84400.0,84882.0,84401.0,84791.0,81196,110100,0,0,0.0
20140820,84812.0,85239.0,84662.0,85138.0,101269,112860,0,0,0.0
20140821,85128.0,85641.0,85084.0,85470.0,84828,116269,0,0,0.0
20140822,85480.0,85621.0,85200.0,85354.0,110474,116958,0,0,0.0
20140825,85410.0,85907.0,85391.0,85670.0,76690,117075,0,0,0.0
20140826,85646.0,86053.0,85577.0,85876.0,83457,119232,0,0,0.0
20140827,85927.0,85988.0,85753.0,85856.0,72652,119781,0,0,0.0
20140828,85872.0,85913.0,85427.0,85776.0,102586,124601,0,0,0.0
20140829,85872.0,86064.0,85502.0,85816.0,93309,124614,0,0,0.0
20140902,85772.0,86044.0,85397.0,85655.0,93309,124614,0,0,0.0
20140903,85656.0,86165.0,85628.0,85755.0,118006,125184,0,0,0.0
20140904,85751.0,86165.0,85477.0,85785.0,137276,123005,0,0,0.0
20140905,85826.0,86060.0,85377.0,85976.0,160286,124430,201412,201412,0.0
20140908,85992.0,86060.0,85764.0,85906.0,110951,6730,0,0,-435.0
20140909,85901.0,86004.0,85335.0,85568.0,165602,8522,0,0,0.0
20140910,85527.0,85792.0,85239.0,85699.0,147225,14118,0,0,0.0
20140911,85689.0,85736.0,85274.0,85623.0,195179,36157,0,0,0.0
20140912,85679.0,85751.0,85077.0,85350.0,221074,62205,0,0,0.0
20140915,85199.0,85665.0,85016.0,85537.0,201305,84591,0,0,0.0
20140916,85598.0,86235.0,85273.0,86097.0,233671,110602,0,0,0.0
20140917,86123.0,86503.0,85854.0,86173.0,232845,119744,0,0,0.0
20140918,86274.0,86872.0,86182.0,86723.0,147640,129082,0,0,0.0
20140919,86834.0,87236.0,86687.0,86895.0,137480,128310,0,0,0.0
20140922,86834.0,86953.0,85854.0,86325.0,147838,132348,0,0,0.0
20140923,86248.0,86388.0,85465.0,85638.0,150336,135355,0,0,0.0
20140924,85501.0,86580.0,85505.0,86527.0,141367,136496,0,0,0.0
20140925,86480.0,86580.0,85136.0,85320.0,212821,134649,0,0,0.0
20140926,85329.0,86176.0,85222.0,85976.0,151572,136992,0,0,0.0
