Date,Open,High,Low,Close,Volume
2017.02.02 21:54,1216.01,1216.02,1215.87,1215.89,44
2017.02.02 21:55,1215.92,1216.04,1215.90,1215.95,23
2017.02.02 21:56,1215.91,1216.21,1215.86,1216.21,45
2017.02.02 21:57,1216.14,1216.15,1216.04,1216.08,28
2017.02.02 21:58,1216.06,1216.08,1215.91,1215.93,32
2017.02.02 21:59,1215.92,1216.04,1215.53,1216.01,105
2017.02.02 22:00,1215.99,1216.02,1215.73,1215.74,35
2017.02.02 22:01,1215.73,1215.83,1215.64,1215.64,33
2017.02.02 22:02,1215.63,1215.70,1215.52,1215.53,39
2017.02.02 22:03,1215.50,1215.87,1215.44,1215.86,54
2017.02.02 22:04,1215.83,1215.96,1215.80,1215.91,22
2017.02.02 22:05,1215.87,1215.87,1215.72,1215.81,17
2017.02.02 22:06,1215.80,1215.80,1215.54,1215.55,38
2017.02.02 22:07,1215.47,1215.47,1215.16,1215.33,60
2017.02.02 22:08,1215.34,1215.64,1215.34,1215.53,36
2017.02.02 22:09,1215.53,1215.55,1215.47,1215.54,23
2017.02.02 22:10,1215.51,1215.73,1215.51,1215.68,23
2017.02.02 22:11,1215.66,1215.83,1215.65,1215.70,25
2017.02.02 22:12,1215.74,1215.76,1215.65,1215.67,9
2017.02.02 22:13,1215.66,1215.70,1215.44,1215.44,32
2017.02.02 22:14,1215.42,1215.60,1215.42,1215.49,20
2017.02.02 22:15,1215.49,1215.54,1215.42,1215.45,35
2017.02.02 22:16,1215.43,1215.62,1215.33,1215.58,29
2017.02.02 22:17,1215.62,1215.72,1215.45,1215.45,64
2017.02.02 22:18,1215.44,1215.44,1215.20,1215.22,27
2017.02.02 22:19,1215.16,1215.22,1215.03,1215.13,43
2017.02.02 22:20,1215.12,1215.18,1215.02,1215.04,29
2017.02.02 22:21,1215.02,1215.07,1214.93,1215.01,23
2017.02.02 22:22,1215.04,1215.15,1214.91,1215.02,53
2017.02.02 22:23,1215.04,1215.23,1214.92,1215.10,49
2017.02.02 22:24,1215.14,1215.50,1215.06,1215.50,61
2017.02.02 22:25,1215.57,1215.73,1215.48,1215.71,45
2017.02.02 22:26,1215.74,1215.75,1215.51,1215.66,39
2017.02.02 22:27,1215.63,1215.63,1215.35,1215.42,29
2017.02.02 22:28,1215.44,1215.44,1215.23,1215.31,30
2017.02.02 22:29,1215.34,1215.41,1215.30,1215.41,28
2017.02.02 22:30,1215.37,1215.37,1215.12,1215.14,34
2017.02.02 22:31,1215.15,1215.22,1215.13,1215.13,25
2017.02.02 22:32,1215.14,1215.15,1214.95,1215.09,33
2017.02.02 22:33,1215.07,1215.19,1215.06,1215.10,21
2017.02.02 22:34,1215.09,1215.11,1214.91,1214.92,39
2017.02.02 22:35,1214.97,1215.13,1214.92,1215.10,42
2017.02.02 22:36,1215.07,1215.31,1215.00,1215.30,48
2017.02.02 22:37,1215.33,1215.59,1215.31,1215.48,34
2017.02.02 22:38,1215.47,1215.57,1215.35,1215.43,23
2017.02.02 22:39,1215.43,1215.50,1215.32,1215.33,27
2017.02.02 22:40,1215.29,1215.32,1215.26,1215.26,23
2017.02.02 22:41,1215.24,1215.26,1215.04,1215.07,40
2017.02.02 22:42,1215.05,1215.37,1215.03,1215.21,28
2017.02.02 22:43,1215.25,1215.28,1215.05,1215.11,22
2017.02.02 22:44,1215.07,1215.32,1215.04,1215.32,54
2017.02.02 22:45,1215.29,1215.49,1215.23,1215.31,52
2017.02.02 22:46,1215.33,1215.38,1215.31,1215.34,9
2017.02.02 22:47,1215.37,1215.67,1215.34,1215.64,38
2017.02.02 22:48,1215.61,1215.71,1215.52,1215.52,23
2017.02.02 22:49,1215.56,1215.56,1215.31,1215.32,33
2017.02.02 22:50,1215.33,1215.99,1215.24,1215.80,40
2017.02.02 22:51,1215.79,1215.79,1215.67,1215.72,28
2017.02.02 22:52,1215.76,1215.77,1215.72,1215.73,9
2017.02.02 22:53,1215.76,1215.79,1215.72,1215.74,16
2017.02.02 22:54,1215.73,1215.75,1215.52,1215.71,37
2017.02.02 22:55,1215.73,1215.79,1215.70,1215.75,64
2017.02.02 22:56,1215.77,1215.81,1215.71,1215.80,38
2017.02.02 22:57,1215.79,1216.23,1215.74,1216.17,75
2017.02.02 22:58,1216.21,1216.21,1215.75,1215.76,55
2017.02.02 22:59,1215.74,1215.78,1215.54,1215.67,100
2017.02.02 23:00,1215.55,1215.62,1215.24,1215.58,104
2017.02.02 23:01,1215.61,1215.97,1215.61,1215.95,65
2017.02.02 23:02,1215.96,1216.03,1215.86,1216.03,28
2017.02.02 23:03,1216.05,1216.12,1216.01,1216.05,16
2017.02.02 23:04,1216.11,1216.12,1216.02,1216.11,27
2017.02.02 23:05,1216.07,1216.13,1216.04,1216.06,10
2017.02.02 23:06,1216.09,1216.33,1216.09,1216.25,19
2017.02.02 23:07,1216.24,1216.24,1216.12,1216.17,27
2017.02.02 23:08,1216.20,1216.29,1216.16,1216.25,19
2017.02.02 23:09,1216.23,1216.34,1216.14,1216.34,20
2017.02.02 23:10,1216.32,1216.32,1216.11,1216.22,19
2017.02.02 23:11,1216.19,1216.19,1216.04,1216.12,20
2017.02.02 23:12,1216.16,1216.17,1216.05,1216.07,13
2017.02.02 23:13,1216.05,1216.05,1215.94,1215.94,14
2017.02.02 23:14,1216.02,1216.03,1215.84,1215.86,23
