Date,Open,High,Low,Close,Volume
2016.12.30 15:45,56.80,56.83,56.69,56.73,87
2016.12.30 16:00,56.74,56.78,56.58,56.65,148
2016.12.30 16:15,56.67,56.70,56.53,56.64,105
2016.12.30 16:30,56.62,56.69,56.56,56.61,116
2016.12.30 16:45,56.60,56.78,56.56,56.75,130
2016.12.30 17:00,56.76,56.80,56.62,56.77,137
2016.12.30 17:15,56.77,56.86,56.75,56.75,144
2016.12.30 17:30,56.76,56.80,56.67,56.73,117
2016.12.30 17:45,56.71,56.71,56.61,56.65,76
2016.12.30 18:00,56.66,56.69,56.62,56.69,89
2016.12.30 18:15,56.69,56.71,56.62,56.64,77
2016.12.30 18:30,56.65,56.79,56.64,56.77,105
2016.12.30 18:45,56.78,56.84,56.77,56.80,67
2016.12.30 19:00,56.81,56.84,56.76,56.76,71
2016.12.30 19:15,56.76,56.79,56.67,56.68,78
2017.01.03 03:00,57.35,57.37,57.25,57.31,56
2017.01.03 03:15,57.30,57.31,57.16,57.23,55
2017.01.03 03:30,57.22,57.22,57.15,57.19,31
2017.01.03 03:45,57.22,57.23,57.19,57.23,13
2017.01.03 04:00,57.20,57.25,57.19,57.24,14
2017.01.03 04:15,57.26,57.29,57.26,57.27,12
2017.01.03 04:30,57.27,57.28,57.23,57.26,12
2017.01.03 04:45,57.27,57.28,57.24,57.28,20
2017.01.03 05:00,57.28,57.28,57.20,57.20,22
2017.01.03 05:15,57.20,57.20,57.16,57.20,21
2017.01.03 05:30,57.20,57.21,57.20,57.21,3
2017.01.03 05:45,57.22,57.24,57.17,57.23,8
2017.01.03 06:00,57.26,57.27,57.26,57.26,3
2017.01.03 06:15,57.24,57.24,57.23,57.24,5
2017.01.03 06:30,57.26,57.28,57.25,57.27,6
2017.01.03 06:45,57.26,57.26,57.26,57.26,2
2017.01.03 07:00,57.28,57.29,57.26,57.29,8
2017.01.03 07:15,57.28,57.29,57.22,57.26,14
2017.01.03 07:30,57.24,57.24,57.23,57.23,5
2017.01.03 07:45,57.26,57.26,57.22,57.23,5
2017.01.03 08:00,57.28,57.28,57.26,57.27,13
2017.01.03 08:15,57.28,57.29,57.24,57.25,12
2017.01.03 08:30,57.26,57.26,57.22,57.24,11
2017.01.03 08:45,57.25,57.25,57.21,57.24,15
2017.01.03 09:00,57.23,57.24,57.18,57.24,35
2017.01.03 09:15,57.23,57.28,57.12,57.15,72
2017.01.03 09:30,57.15,57.18,57.14,57.16,24
2017.01.03 09:45,57.19,57.20,57.10,57.13,70
2017.01.03 10:00,57.13,57.17,57.07,57.17,115
2017.01.03 10:15,57.15,57.21,57.14,57.21,132
2017.01.03 10:30,57.22,57.40,57.21,57.38,162
2017.01.03 10:45,57.39,57.61,57.35,57.60,213
2017.01.03 11:00,57.59,57.77,57.54,57.76,203
2017.01.03 11:15,57.77,58.04,57.75,58.03,292
2017.01.03 11:30,58.04,58.49,58.03,58.36,442
2017.01.03 11:45,58.35,58.35,58.21,58.24,191
2017.01.03 12:00,58.25,58.26,58.14,58.17,252
2017.01.03 12:15,58.16,58.24,58.05,58.18,371
2017.01.03 12:30,58.17,58.23,58.11,58.21,213
2017.01.03 12:45,58.21,58.21,58.11,58.16,168
2017.01.03 13:00,58.17,58.24,58.14,58.24,129
2017.01.03 13:15,58.23,58.36,58.17,58.31,228
2017.01.03 13:30,58.32,58.37,58.26,58.29,161
2017.01.03 13:45,58.28,58.30,58.16,58.18,227
2017.01.03 14:00,58.18,58.24,58.16,58.19,148
2017.01.03 14:15,58.20,58.21,58.08,58.20,196
2017.01.03 14:30,58.19,58.20,58.15,58.18,117
2017.01.03 14:45,58.18,58.25,58.16,58.21,186
2017.01.03 15:00,58.21,58.31,58.21,58.27,232
2017.01.03 15:15,58.26,58.32,58.16,58.17,225
2017.01.03 15:30,58.17,58.17,58.09,58.12,184
2017.01.03 15:45,58.12,58.14,57.87,57.99,403
2017.01.03 16:00,57.99,58.37,57.98,58.34,583
2017.01.03 16:15,58.32,58.41,58.24,58.27,511
2017.01.03 16:30,58.26,58.37,58.08,58.21,438
2017.01.03 16:45,58.22,58.35,58.18,58.20,470
2017.01.03 17:00,58.21,58.36,58.21,58.33,453
2017.01.03 17:15,58.32,58.35,58.05,58.14,585
2017.01.03 17:30,58.14,58.17,57.84,57.84,640
2017.01.03 17:45,57.83,57.86,57.51,57.52,752
2017.01.03 18:00,57.51,57.51,57.33,57.44,928
2017.01.03 18:15,57.44,57.47,56.22,56.33,1660
2017.01.03 18:30,56.31,56.62,55.97,56.03,1519
2017.01.03 18:45,56.05,56.31,55.82,56.01,1158
2017.01.03 19:00,56.00,56.15,55.50,55.74,1220
2017.01.03 19:15,55.73,55.81,55.57,55.79,793
2017.01.03 19:30,55.77,55.79,55.56,55.60,719
2017.01.03 19:45,55.60,55.74,55.55,55.71,518
2017.01.03 20:00,55.72,55.75,55.57,55.72,488
2017.01.03 20:15,55.73,55.91,55.60,55.85,355
2017.01.03 20:30,55.83,55.92,55.74,55.89,447
2017.01.03 20:45,55.90,55.92,55.78,55.80,429
2017.01.03 21:00,55.81,55.99,55.78,55.96,529
2017.01.03 21:15,55.95,55.96,55.44,55.62,1269
2017.01.03 21:30,55.61,55.62,55.48,55.54,246
2017.01.03 21:45,55.53,55.55,55.50,55.52,99
2017.01.03 22:00,55.51,55.57,55.48,55.50,102
