Date,Open,High,Low,Close,Volume
2010.10.26 00:00,83.27,83.86,82.95,83.43,167
2010.10.27 00:00,83.50,83.69,81.84,83.29,350
2010.10.28 00:00,83.31,83.82,82.95,83.37,169
2010.10.29 00:00,83.38,83.56,82.20,83.08,243
2010.11.01 00:00,83.25,85.52,83.01,84.48,380
2010.11.02 00:00,84.70,85.86,84.51,85.72,169
2010.11.03 00:00,85.75,86.86,85.22,86.50,254
2010.11.04 00:00,86.70,88.26,86.38,88.00,247
2010.11.05 00:00,88.05,88.76,87.30,88.27,271
2010.11.08 00:00,88.50,88.55,87.29,88.22,225
2010.11.09 00:00,88.04,88.99,87.16,87.96,359
2010.11.10 00:00,88.00,89.29,87.71,88.89,228
2010.11.11 00:00,88.96,89.67,88.60,88.66,185
2010.11.12 00:00,88.61,88.68,85.75,85.95,321
2010.11.15 00:00,86.68,87.46,86.34,86.50,207
2010.11.16 00:00,86.58,86.69,84.48,84.78,263
2010.11.17 00:00,84.56,85.03,82.94,83.04,267
2010.11.18 00:00,83.04,85.47,83.04,85.31,260
2010.11.19 00:00,85.18,86.12,83.86,84.40,375
2010.11.22 00:00,84.70,85.42,83.09,83.66,363
2010.11.23 00:00,83.80,83.97,82.42,83.00,231
2010.11.24 00:00,83.27,86.22,83.27,86.21,297
2010.11.25 00:00,85.82,86.47,85.38,85.90,211
2010.11.26 00:00,85.89,85.92,84.73,85.60,210
2010.11.29 00:00,85.59,87.54,85.50,87.36,232
2010.11.30 00:00,87.35,87.49,85.41,85.45,227
2010.12.01 00:00,85.76,89.01,85.43,88.87,406
2010.12.02 00:00,88.75,90.81,88.39,90.51,309
2010.12.03 00:00,90.37,91.83,90.09,91.57,229
2010.12.06 00:00,91.57,92.00,90.84,90.91,167
2010.12.07 00:00,90.96,92.84,90.70,90.81,414
2010.12.08 00:00,90.83,91.71,90.13,91.08,292
2010.12.09 00:00,91.13,91.61,90.26,91.00,258
2010.12.10 00:00,90.95,91.54,89.85,90.54,298
2010.12.13 00:00,90.42,92.26,90.42,90.68,343
2010.12.14 00:00,90.95,91.70,90.66,91.15,189
2010.12.15 00:00,90.95,92.39,90.32,91.96,314
2010.12.16 00:00,91.77,92.22,91.51,91.64,130
2010.12.17 00:00,91.81,92.36,90.88,91.56,272
2010.12.20 00:00,91.85,92.87,91.01,92.46,312
2010.12.21 00:00,92.59,93.47,92.35,93.44,140
2010.12.22 00:00,93.42,93.91,93.23,93.67,112
2010.12.23 00:00,93.68,94.52,93.27,94.26,193
2010.12.27 00:00,93.77,94.50,93.07,93.72,282
2010.12.28 00:00,93.76,94.39,93.63,94.11,118
2010.12.29 00:00,94.12,94.35,93.61,93.90,127
2010.12.30 00:00,94.12,94.39,92.32,92.64,267
2010.12.31 00:00,92.75,94.27,92.17,94.12,284
2011.01.03 00:00,94.54,96.13,94.49,94.94,289
2011.01.04 00:00,94.99,95.71,92.57,93.26,456
2011.01.05 00:00,93.22,95.79,92.35,95.48,463
2011.01.06 00:00,95.49,96.09,93.99,94.32,304
2011.01.07 00:00,94.33,94.54,92.58,93.58,318
2011.01.10 00:00,94.07,95.86,93.59,95.68,294
2011.01.11 00:00,95.38,97.80,95.06,97.46,341
2011.01.12 00:00,97.46,98.82,97.27,98.14,243
2011.01.13 00:00,98.38,98.64,97.27,98.33,270
2011.01.14 00:00,97.41,98.55,96.76,98.55,245
2011.01.17 00:00,98.44,98.63,97.38,97.55,162
2011.01.18 00:00,97.38,98.34,96.59,97.34,347
2011.01.19 00:00,97.52,98.57,97.50,97.81,186
2011.01.20 00:00,97.87,98.09,95.42,96.33,381
2011.01.21 00:00,96.34,97.82,96.21,97.61,196
2011.01.24 00:00,97.68,98.13,96.21,96.37,254
2011.01.25 00:00,96.36,96.66,94.73,95.28,279
2011.01.26 00:00,95.26,98.31,95.25,98.01,338
2011.01.27 00:00,97.87,98.92,97.13,97.15,287
2011.01.28 00:00,97.36,99.70,97.12,99.32,321
2011.01.31 00:00,99.67,101.67,98.48,100.43,563
2011.02.01 00:00,100.60,102.04,100.19,101.42,289
2011.02.02 00:00,101.60,102.56,101.30,102.28,185
2011.02.03 00:00,102.41,103.32,101.40,101.76,320
2011.02.04 00:00,101.80,102.45,99.47,99.89,406
2011.02.07 00:00,100.41,100.87,98.76,99.18,300
2011.02.08 00:00,99.24,100.39,97.49,100.23,482
2011.02.09 00:00,100.10,102.22,100.02,101.99,252
2011.02.10 00:00,102.06,102.84,100.46,101.34,405
2011.02.11 00:00,102.17,102.51,100.54,101.32,310
2011.02.14 00:00,101.60,104.25,100.89,102.96,537
2011.02.15 00:00,103.07,104.00,101.28,101.73,411
2011.02.16 00:00,101.71,104.49,101.71,104.23,305
2011.02.17 00:00,104.22,104.29,102.35,102.80,247
2011.02.18 00:00,102.75,103.47,100.74,103.03,519
2011.02.21 00:00,103.55,108.64,103.37,108.00,610
2011.02.22 00:00,107.96,108.53,105.55,106.23,424
2011.02.23 00:00,105.96,112.44,105.90,112.14,691
2011.02.24 00:00,111.83,119.47,109.61,110.78,1868
2011.02.25 00:00,111.11,113.88,110.50,112.20,568
