Date,Open,High,Low,Close,Volume
2009.03.17 00:00,922.75,924.47,912.25,914.75,25692
2009.03.18 00:00,914.72,948.60,883.78,940.25,37624
2009.03.19 00:00,940.38,962.35,925.70,959.15,45541
2009.03.20 00:00,959.10,966.70,946.45,951.50,35471
2009.03.22 00:00,951.55,951.55,951.55,951.55,1
2009.03.23 00:00,950.45,957.08,935.90,938.13,33677
2009.03.24 00:00,937.70,944.03,916.86,926.65,36080
2009.03.25 00:00,926.75,940.53,916.38,933.75,36228
2009.03.26 00:00,933.95,945.60,931.80,933.80,31079
2009.03.27 00:00,934.45,935.90,918.40,922.85,28520
2009.03.29 00:00,922.70,922.70,922.70,922.70,1
2009.03.30 00:00,924.20,932.10,908.45,917.28,32021
2009.03.31 00:00,917.30,924.60,911.65,918.90,30317
2009.04.01 00:00,918.93,932.92,916.58,926.68,27149
2009.04.02 00:00,926.65,929.10,894.55,903.80,34673
2009.04.03 00:00,903.80,909.30,890.58,892.55,34236
2009.04.05 00:00,893.85,893.85,893.85,893.85,1
2009.04.06 00:00,893.90,896.63,865.20,868.73,35053
2009.04.07 00:00,868.75,884.98,868.43,880.95,30665
2009.04.08 00:00,881.00,890.18,878.40,880.45,27963
2009.04.09 00:00,880.47,886.25,874.78,878.70,24708
2009.04.10 00:00,878.68,885.00,878.00,881.00,549
2009.04.13 00:00,880.90,899.78,880.90,893.80,14771
2009.04.14 00:00,893.78,898.30,885.70,890.30,24369
2009.04.15 00:00,890.28,899.38,885.50,890.90,25853
2009.04.16 00:00,890.95,893.50,871.85,875.40,28652
2009.04.17 00:00,875.35,876.85,865.18,868.25,23101
2009.04.19 00:00,868.50,869.68,866.80,868.70,557
2009.04.20 00:00,868.55,888.22,864.50,884.18,27317
2009.04.21 00:00,884.07,895.00,878.83,883.40,28073
2009.04.22 00:00,883.40,893.03,881.75,889.65,23889
2009.04.23 00:00,889.63,908.70,889.60,904.20,26976
2009.04.24 00:00,904.20,913.85,902.30,912.40,26496
2009.04.26 00:00,912.68,917.45,912.58,917.40,503
