Date,Open,High,Low,Close,Volume
2000.01.31 00:00,6930.20,6930.20,6246.80,6268.50,70511
2000.02.29 00:00,6268.50,6450.90,5972.70,6232.60,92051
2000.03.31 00:00,6232.60,6770.40,6232.60,6540.20,76801
2000.04.28 00:00,6540.20,6586.30,5915.20,6327.40,112941
2000.05.31 00:00,6327.40,6419.90,5991.90,6359.30,82411
2000.06.30 00:00,6359.30,6635.70,6221.00,6312.70,78281
2000.07.31 00:00,6312.70,6545.10,6274.90,6365.30,48781
2000.08.31 00:00,6365.30,6675.70,6296.40,6672.70,45121
2000.09.29 00:00,6672.70,6838.60,6075.10,6294.20,114851
2000.10.31 00:00,6294.20,6475.80,6017.20,6438.40,77301
2000.11.30 00:00,6438.40,6514.70,6070.00,6142.20,59321
2000.12.29 00:00,6142.20,6421.50,6083.70,6222.50,59531
2001.01.31 00:00,6222.50,6360.30,6029.30,6297.50,58701
2001.02.28 00:00,6297.50,6309.90,5901.70,5917.90,43681
2001.03.30 00:00,5917.90,6050.40,5279.60,5633.70,125741
2001.04.30 00:00,5633.70,5995.40,5354.30,5966.90,94901
2001.05.31 00:00,5966.90,5993.70,5690.50,5796.10,43561
2001.06.29 00:00,5796.10,5981.80,5519.60,5642.50,77081
2001.07.31 00:00,5642.50,5726.10,5260.50,5529.10,81781
2001.08.31 00:00,5529.10,5644.20,5286.70,5345.00,53091
2001.09.28 00:00,5345.00,5379.60,4219.80,4903.40,187801
2001.10.31 00:00,4903.40,5279.80,4730.70,5039.70,96191
2001.11.30 00:00,5039.70,5383.20,4988.30,5203.60,62591
2001.12.31 00:00,5203.60,5411.20,5032.30,5217.40,74401
2002.01.31 00:00,5217.40,5362.30,5052.80,5164.80,56641
2002.02.28 00:00,5164.80,5238.00,5015.50,5101.00,38121
2002.03.29 00:00,5101.00,5331.60,5101.00,5271.80,29041
2002.04.30 00:00,5271.80,5292.30,5116.00,5165.60,24641
2002.05.31 00:00,5165.60,5282.20,5016.90,5085.10,45011
2002.06.28 00:00,5085.10,5085.10,4442.90,4656.40,85571
2002.07.31 00:00,4656.40,4708.70,3625.90,4246.20,175541
2002.08.30 00:00,4246.20,4466.40,3900.70,4227.30,111251
2002.09.30 00:00,4227.30,4246.40,3609.90,3721.80,76751
2002.10.31 00:00,3721.80,4197.50,3663.40,4039.70,75031
2002.11.29 00:00,4039.70,4224.80,3953.30,4169.40,41331
2002.12.31 00:00,4169.40,4218.60,3803.40,3940.40,60141
2003.01.31 00:00,3940.40,4027.60,3391.50,3567.40,89921
2003.02.28 00:00,3567.40,3747.00,3535.10,3655.60,33561
2003.03.31 00:00,3655.60,3881.70,3277.50,3613.30,116611
2003.04.30 00:00,3613.30,3997.30,3612.30,3926.00,45731
2003.05.30 00:00,3926.00,4096.00,3875.30,4048.10,31931
2003.06.30 00:00,4048.10,4218.80,4021.60,4031.20,37751
2003.07.31 00:00,4031.20,4183.00,3951.50,4157.00,33721
2003.08.29 00:00,4157.00,4286.90,4044.90,4161.10,47991
2003.09.30 00:00,4161.10,4329.60,4081.80,4091.30,42581
2003.10.31 00:00,4091.30,4393.80,4091.30,4287.60,40871
2003.11.28 00:00,4287.60,4423.60,4270.50,4342.60,25121
2003.12.31 00:00,4342.60,4491.80,4312.50,4476.90,22431
2004.01.30 00:00,4476.90,4531.40,4390.70,4390.70,19521
2004.02.27 00:00,4390.70,4556.90,4357.40,4492.20,29751
2004.03.31 00:00,4492.20,4566.20,4291.30,4385.70,44331
2004.04.30 00:00,4385.70,4601.60,4385.10,4489.70,32901
2004.05.31 00:00,4489.70,4573.70,4363.00,4430.70,36241
2004.06.30 00:00,4430.70,4535.10,4400.70,4464.10,23541
2004.07.30 00:00,4464.10,4487.90,4283.20,4413.10,35841
2004.08.31 00:00,4413.10,4490.10,4283.00,4459.30,36801
2004.09.30 00:00,4459.30,4630.70,4459.30,4570.80,23131
2004.10.29 00:00,4570.80,4732.90,4551.60,4624.20,30921
2004.11.30 00:00,4624.20,4823.80,4624.20,4703.20,32021
2004.12.31 00:00,4703.20,4826.20,4675.00,4814.30,19131
2005.01.31 00:00,4814.30,4879.50,4765.40,4852.30,19021
2005.02.28 00:00,4852.30,5077.80,4852.30,4968.50,33481
2005.03.31 00:00,4968.50,5042.00,4886.50,4894.40,23691
2005.04.29 00:00,4894.40,4994.10,4773.70,4801.70,34811
2005.05.31 00:00,4801.70,5004.30,4801.70,4964.00,24291
2005.06.30 00:00,4964.00,5138.20,4964.00,5113.20,19921
2005.07.29 00:00,5113.20,5308.60,5022.10,5282.30,40391
2005.08.31 00:00,5282.30,5386.40,5228.10,5296.90,30201
2005.09.30 00:00,5296.90,5508.40,5296.90,5477.70,24221
2005.10.31 00:00,5477.70,5515.00,5130.90,5317.30,60781
2005.11.30 00:00,5317.30,5554.90,5304.90,5423.20,39411
2005.12.30 00:00,5423.20,5647.20,5423.20,5618.80,25241
2006.01.31 00:00,5618.80,5796.10,5618.80,5760.30,21311
2006.02.28 00:00,5760.30,5893.30,5681.90,5791.50,39161
2006.03.31 00:00,5791.50,6047.00,5783.90,5964.60,35311
2006.04.28 00:00,5964.60,6137.10,5964.60,6023.10,28651
2006.05.31 00:00,6023.10,6133.50,5510.50,5723.80,94671
2006.06.30 00:00,5723.80,5865.70,5467.40,5833.40,68701
2006.07.31 00:00,5833.40,5982.50,5654.60,5928.30,56091
2006.08.31 00:00,5928.30,5949.80,5752.60,5906.10,37221
2006.09.29 00:00,5906.10,6002.90,5774.50,5960.80,40211
2006.10.31 00:00,5960.80,6244.60,5897.30,6129.20,52621
2006.11.30 00:00,6129.20,6256.80,6011.80,6048.80,40961
2006.12.29 00:00,6048.80,6271.40,5985.20,6220.80,40041
2007.01.31 00:00,6220.80,6335.10,6130.20,6203.10,39211
2007.02.28 00:00,6203.10,6451.40,6166.20,6171.50,53881
2007.03.30 00:00,6171.50,6355.30,5989.60,6308.00,59491
2007.04.30 00:00,6308.00,6516.22,6293.90,6449.20,30345
