Date,Open,High,Low,Close,Volume
1995.09.29 22:00,16.28,17.04,15.83,16.12,227
1995.10.31 22:00,16.16,16.42,15.58,16.33,152
1995.11.30 22:00,16.37,17.19,16.21,17.04,130
1995.12.29 22:00,17.07,18.53,17.06,18.33,169
1996.01.31 22:00,18.55,19.31,15.93,16.52,474
1996.02.29 22:00,16.60,18.45,16.43,17.76,289
1996.03.29 22:00,17.90,20.30,17.20,19.41,470
1996.04.30 22:00,19.40,23.30,18.08,19.02,1007
1996.05.31 22:00,18.85,19.68,16.78,17.80,476
1996.06.28 22:00,17.76,19.24,17.48,18.91,238
1996.07.31 22:00,18.93,20.55,18.67,18.90,374
1996.08.30 22:00,19.00,21.00,18.79,20.78,265
1996.09.30 22:00,21.48,24.39,21.45,23.21,416
1996.10.31 22:00,22.90,25.06,22.62,22.67,466
1996.11.29 22:00,22.65,23.99,22.11,22.77,365
1996.12.31 22:00,22.85,24.65,22.00,23.81,435
1997.01.31 22:00,24.50,24.91,22.00,22.52,385
1997.02.28 22:00,22.45,22.77,18.80,18.85,435
1997.03.31 22:00,18.95,20.84,18.68,19.38,390
1997.04.30 22:00,19.06,19.27,17.54,18.52,293
1997.05.30 22:00,18.42,20.60,17.87,19.40,449
1997.06.30 22:00,19.31,19.62,17.32,18.51,381
1997.07.31 22:00,18.54,19.09,17.80,18.94,219
1997.08.29 22:00,18.76,19.64,18.10,18.51,284
1997.09.30 22:00,18.50,20.13,18.15,19.90,257
1997.10.31 22:00,19.82,21.75,19.30,20.02,471
1997.11.28 22:00,20.45,20.45,18.36,18.94,268
1997.12.31 22:00,18.44,18.48,16.50,16.52,205
1998.01.30 22:00,16.80,16.80,14.70,15.96,337
1998.02.27 22:00,15.95,15.95,13.73,14.17,267
1998.03.31 22:00,14.30,15.82,11.90,14.26,781
1998.04.30 22:00,14.20,14.95,13.32,14.46,301
1998.05.29 22:00,14.56,15.29,13.65,14.37,310
1998.07.31 22:00,13.42,13.70,12.25,13.09,258
1998.08.31 22:00,13.06,13.06,11.55,12.56,253
1998.09.30 22:00,12.30,14.90,12.19,14.68,305
1998.10.30 22:00,14.68,14.90,12.22,13.22,391
1998.11.30 22:00,13.32,13.45,10.08,10.46,389
1998.12.31 22:00,10.44,11.30,9.55,10.53,342
1999.01.29 22:00,10.93,12.33,10.42,11.35,341
1999.02.26 22:00,11.41,11.45,9.90,10.88,258
1999.03.31 22:00,10.93,15.28,10.63,15.24,500
1999.04.30 22:00,14.70,16.68,14.00,16.57,350
1999.05.31 22:00,16.70,17.09,14.91,15.20,287
1999.06.30 22:00,14.95,17.52,14.53,17.51,343
1999.07.30 22:00,17.55,19.95,17.42,19.37,325
1999.08.31 22:00,19.28,21.42,19.20,21.33,240
1999.09.30 22:00,21.20,24.30,20.74,23.58,475
1999.10.29 22:00,23.72,23.85,20.20,21.69,528
1999.11.30 22:00,21.85,25.90,21.74,23.64,654
1999.12.31 22:00,24.25,26.15,23.20,25.08,508
2000.01.31 22:00,23.90,27.11,23.04,25.97,608
2000.02.29 22:00,26.10,28.78,25.73,28.09,412
2000.03.31 22:00,28.00,31.95,24.25,24.77,1218
2000.04.28 22:00,25.00,25.22,21.30,23.89,674
2000.05.31 22:00,24.10,29.52,24.05,28.31,674
2000.06.30 22:00,28.40,31.70,27.58,30.57,608
2000.07.31 22:00,30.65,31.25,26.65,26.93,549
2000.08.31 22:00,26.80,32.80,26.73,31.72,723
2000.09.29 22:00,31.65,34.98,29.25,29.84,966
2000.10.31 22:00,30.20,35.30,29.42,30.76,1121
2000.11.30 22:00,31.10,34.00,30.32,31.88,659
2000.12.29 22:00,31.88,32.32,22.90,23.87,1084
2001.01.31 22:00,24.40,27.48,24.12,26.66,447
2001.02.28 22:00,26.55,30.36,25.50,25.57,875
2001.03.30 22:00,25.70,27.25,23.75,24.74,605
2001.04.30 22:00,24.85,28.48,24.10,27.89,573
2001.05.31 22:00,27.62,29.68,27.01,29.34,363
2001.06.29 22:00,29.27,30.00,24.91,26.08,700
2001.07.31 22:00,26.30,26.90,23.97,24.69,426
2001.08.31 22:00,25.09,26.79,24.50,26.41,327
2001.09.28 22:00,26.50,31.05,20.70,23.26,1747
2001.10.31 22:00,23.20,23.25,20.05,20.37,358
2001.11.30 22:00,20.35,21.63,16.65,19.14,876
2001.12.31 22:00,18.92,20.90,17.70,19.90,543
2002.01.31 22:00,19.46,22.40,18.23,19.18,807
2002.02.28 22:00,19.36,21.71,18.80,21.33,386
2002.03.29 22:00,21.35,25.95,21.20,25.92,494
2002.04.30 22:00,26.36,28.15,23.81,26.47,858
2002.05.31 22:00,26.00,27.35,23.93,24.45,530
2002.06.28 22:00,24.10,25.85,23.22,25.58,379
2002.07.31 22:00,25.50,26.66,24.65,25.44,397
2002.08.30 22:00,25.35,27.92,24.65,27.47,443
2002.09.30 22:00,27.40,29.88,26.45,28.75,552
2002.10.31 22:00,28.85,29.39,25.05,25.72,556
2002.11.29 22:00,25.77,26.05,22.56,25.16,638
2002.12.31 22:00,25.35,31.02,25.12,28.66,850
2003.01.31 22:00,29.30,31.80,27.85,31.10,611
2003.02.28 22:00,30.89,33.94,30.10,32.79,579
2003.03.31 22:00,32.45,34.55,24.00,27.18,1584
2003.04.30 22:00,27.56,27.56,23.05,23.68,515
2003.05.30 22:00,24.00,27.01,23.34,26.32,503
2003.06.30 22:00,26.70,28.52,25.80,28.33,382
2003.07.31 22:00,28.20,29.60,27.21,28.37,462
2003.08.29 22:00,28.45,30.59,28.02,29.49,411
2003.09.30 22:00,29.45,29.55,25.05,27.61,717
2003.10.31 22:00,27.58,31.50,26.75,27.70,939
2003.11.28 22:00,27.98,30.52,26.97,28.45,664
2003.12.31 22:00,28.43,31.15,27.76,30.17,505
2004.01.30 22:00,29.57,32.12,28.81,29.18,624
2004.02.27 22:00,29.00,32.35,28.44,32.23,460
2004.03.31 22:00,32.33,33.82,31.15,31.51,453
2004.04.30 22:00,32.23,35.00,29.95,34.48,786
2004.05.31 22:00,35.22,38.90,34.95,36.58,655
2004.06.30 22:00,37.15,39.12,33.08,34.50,944
2004.07.30 22:00,34.25,40.05,34.18,40.03,597
2004.08.31 22:00,39.70,45.15,39.20,39.61,1182
2004.09.30 22:00,39.90,46.80,39.70,46.38,773
2004.10.29 22:00,46.20,51.95,45.80,48.98,953
2004.11.30 22:00,49.20,49.60,40.05,45.51,1542
2004.12.31 22:00,45.35,45.43,37.00,40.46,1198
2005.01.31 22:00,39.40,47.35,38.81,45.92,1057
2005.02.28 22:00,45.48,50.34,42.46,50.06,1119
2005.03.31 22:00,50.08,56.15,49.05,54.29,1000
2005.04.29 22:00,54.52,57.65,50.35,51.09,1118
2005.05.31 22:00,51.78,52.43,47.47,50.73,888
2005.06.30 22:00,50.85,59.59,50.85,55.58,1276
2005.07.29 22:00,55.70,60.70,55.25,59.37,724
2005.08.31 22:00,59.85,68.89,59.37,67.02,1188
2005.09.30 22:00,66.70,67.88,61.00,63.48,1055
2005.10.31 22:00,63.63,63.96,57.05,58.10,830
2005.11.30 22:00,58.07,60.65,53.75,55.05,1079
2005.12.30 22:00,55.00,60.40,54.63,58.98,757
2006.01.31 22:00,59.35,67.32,59.08,65.99,985
2006.02.28 22:00,65.76,67.27,57.90,61.76,1475
2006.03.31 22:00,61.95,67.05,59.26,65.91,1163
2006.04.28 22:00,66.69,74.79,65.73,72.02,1280
2006.05.31 22:00,71.98,74.97,67.63,70.41,1312
2006.06.30 22:00,70.25,73.69,66.33,73.51,1147
2006.07.31 22:00,73.26,78.18,72.11,75.15,1026
2006.08.31 22:00,75.15,78.64,68.82,70.25,1475
2006.09.29 22:00,70.42,70.66,59.32,62.48,1475
2006.10.31 22:00,62.70,62.82,57.39,59.03,720
2006.11.30 22:00,58.85,64.77,57.75,64.26,864
2006.12.29 22:00,63.85,64.92,60.04,60.86,678
2007.01.31 22:00,60.88,61.64,50.75,57.40,1831
2007.02.28 22:00,57.20,62.18,56.10,61.89,748
2007.03.30 22:00,61.78,69.14,59.79,68.10,1239
2007.04.30 22:00,67.91,69.59,64.76,67.65,941
2007.05.31 22:00,67.53,71.80,63.80,68.04,1550
2007.06.29 22:00,68.15,72.25,67.61,71.41,603
2007.07.31 22:00,71.22,78.40,70.92,77.05,914
2007.08.31 22:00,76.95,77.16,68.14,72.69,1379
2007.09.28 22:00,72.69,81.05,72.69,79.17,1025
2007.10.31 22:00,79.25,91.18,75.64,90.63,1971
2007.11.30 22:00,90.94,96.65,87.55,88.26,1553
2007.12.31 22:00,88.74,95.87,86.56,93.85,1352
2008.01.31 22:00,94.47,98.50,85.00,92.21,2475
2008.02.29 22:00,91.50,101.27,86.83,100.10,2029
2008.03.31 22:00,100.12,108.02,96.92,100.30,2203
2008.04.30 22:00,100.50,117.56,98.99,111.36,2629
2008.05.30 22:00,112.74,135.14,108.42,127.78,3841
2008.06.30 22:00,127.22,143.91,121.32,139.83,3258
2008.07.31 22:00,140.44,147.50,120.88,123.98,3679
2008.08.29 22:00,123.42,127.94,110.31,114.05,2590
2008.09.30 22:00,115.50,115.56,88.90,98.17,3600
2008.10.31 22:00,99.45,100.31,59.02,65.32,4846
2008.11.28 22:00,64.30,67.76,47.40,53.49,2992
2008.12.31 22:00,53.00,53.00,36.20,45.59,2620
2009.01.30 22:00,43.85,52.21,41.60,45.88,1920
2009.02.27 22:00,46.06,48.42,39.35,46.35,1786
2009.03.31 22:00,45.56,53.86,41.30,49.23,2146
2009.04.30 22:00,48.37,54.31,47.26,50.80,1168
2009.05.29 22:00,50.70,65.80,49.96,65.52,1687
2009.06.30 22:00,65.77,73.50,64.91,69.30,1366
2009.07.31 22:00,69.90,72.12,59.49,71.70,2347
2009.08.31 22:00,71.98,76.00,68.85,69.65,1198
2009.09.30 22:00,69.65,72.20,64.08,69.07,1567
2009.10.30 22:00,68.92,80.26,65.90,75.20,2245
2009.11.30 22:00,75.24,80.14,73.70,78.47,966
2009.12.31 22:00,78.42,79.91,71.02,77.93,1730
2010.01.29 22:00,78.49,82.45,71.02,71.46,1584
2010.02.26 22:00,71.35,78.94,67.87,77.59,1591
2010.04.01 00:00,84.36,87.72,84.34,87.28,385
2010.05.01 00:00,87.56,89.55,68.14,74.57,2984
2010.06.01 00:00,74.80,79.83,70.20,74.67,1914
2010.07.01 00:00,74.65,78.28,70.75,78.15,1157
2010.08.01 00:00,78.27,82.83,71.73,74.44,1838
2010.09.01 00:00,74.41,82.37,74.41,82.10,824
2010.10.01 00:00,82.15,86.00,80.72,83.08,964
2010.11.01 00:00,83.25,89.67,82.42,85.45,5782
2010.12.01 00:00,85.76,94.52,85.43,94.12,5456
2011.01.01 00:00,94.54,101.67,92.35,100.43,6537
2011.02.01 00:00,100.60,119.47,97.49,111.96,9605
2011.03.01 00:00,111.84,118.47,106.70,117.09,9950
2011.04.01 00:00,117.68,126.95,116.76,125.85,7866
2011.05.01 00:00,125.37,126.51,105.13,116.40,13789
2011.06.01 00:00,117.01,120.72,102.29,111.86,11216
2011.07.01 00:00,111.90,119.85,109.50,116.61,8681
2011.08.01 00:00,117.87,120.05,98.65,114.40,12540
2011.09.01 00:00,114.85,116.57,101.65,102.32,10234
2011.10.01 00:00,101.80,113.81,99.10,109.15,9533
2011.11.01 00:00,109.11,116.44,105.63,110.25,8739
2011.12.01 00:00,110.44,111.58,102.35,107.35,7303
2012.01.01 00:00,108.24,115.09,108.23,110.96,7296
2012.02.01 00:00,111.28,125.53,111.01,122.90,7020
2012.03.01 00:00,122.97,128.37,121.37,122.96,7676
2012.04.01 00:00,123.34,125.95,116.68,119.39,5986
2012.05.01 00:00,119.28,120.00,101.25,101.62,7500
2012.06.01 00:00,101.65,102.42,88.47,97.60,8828
