Date,Open,High,Low,Close,Volume
1988.08.31 22:00,15.64,15.64,14.48,14.60,129
1988.09.30 22:00,14.50,14.50,12.03,12.24,269
1988.10.31 22:00,11.83,13.95,11.30,12.74,440
1988.11.30 22:00,12.45,15.00,11.70,14.05,501
1988.12.30 22:00,14.35,15.60,14.03,15.52,198
1989.01.31 22:00,15.63,17.25,15.59,15.91,305
1989.02.28 22:00,15.69,16.61,15.16,16.40,220
1989.03.31 22:00,16.62,19.73,16.50,19.58,351
1989.04.28 22:00,18.90,20.41,18.15,18.62,425
1989.05.31 22:00,18.75,18.80,16.68,17.64,314
1989.06.30 22:00,17.65,18.10,16.00,17.51,407
1989.07.31 22:00,17.58,18.27,16.40,16.67,284
1989.08.31 22:00,16.72,17.30,16.28,17.24,153
1989.09.29 22:00,17.17,18.20,17.11,18.16,120
1989.10.31 22:00,18.33,19.20,18.11,18.63,189
1989.11.30 22:00,18.82,19.15,18.07,18.49,184
1989.12.29 22:00,18.54,20.30,18.50,20.28,187
1990.01.31 22:00,20.20,22.28,19.02,20.06,639
1990.02.28 22:00,19.90,20.20,19.12,19.48,175
1990.03.30 22:00,19.48,19.68,18.00,18.38,227
1990.04.30 22:00,18.50,18.65,15.94,17.12,405
1990.05.31 22:00,17.20,18.16,16.10,16.24,317
1990.06.29 22:00,16.31,16.46,15.33,16.14,210
1990.07.31 22:00,16.83,19.85,15.53,19.84,564
1990.08.31 22:00,19.86,31.10,19.79,26.75,1574
1990.09.28 22:00,27.60,39.15,27.60,39.10,1161
1990.10.31 22:00,38.20,40.95,26.05,34.41,2602
1990.11.30 22:00,34.60,35.18,27.95,29.20,907
1990.12.31 22:00,28.70,30.70,25.45,28.27,1008
1991.01.31 22:00,28.10,31.20,17.90,20.06,1857
1991.02.28 22:00,20.10,20.90,16.00,18.68,839
1991.03.29 22:00,18.50,21.00,17.40,18.17,688
1991.04.30 22:00,17.85,20.30,17.60,19.42,384
1991.05.31 22:00,19.25,20.37,18.94,19.21,283
1991.06.28 22:00,19.25,19.36,17.71,18.72,278
1991.07.31 22:00,18.75,20.22,18.61,19.74,224
1991.08.30 22:00,19.76,22.20,19.18,20.70,511
1991.09.30 22:00,20.60,21.19,19.78,21.05,238
1991.10.31 22:00,20.96,22.99,20.79,22.10,327
1991.11.29 22:00,22.20,22.66,19.58,20.13,410
1991.12.31 22:00,20.25,20.27,17.30,17.61,331
1992.01.31 22:00,18.00,18.68,16.68,18.15,386
1992.02.28 22:00,18.12,19.04,17.13,17.55,326
1992.03.31 22:00,17.44,18.18,17.18,18.14,131
1992.04.30 22:00,18.20,19.70,18.17,19.66,161
1992.05.29 22:00,19.60,20.92,19.12,20.79,242
1992.07.31 22:00,20.60,20.84,19.80,20.47,196
1992.08.31 22:00,20.37,20.42,19.53,19.87,129
1992.09.30 22:00,19.95,20.76,19.90,20.34,134
1992.10.30 22:00,20.36,20.99,19.20,19.45,268
1992.11.30 22:00,19.50,19.70,18.73,18.84,129
1992.12.31 22:00,18.91,18.93,17.65,18.29,195
1993.01.29 22:00,18.20,18.69,16.82,18.47,348
1993.02.26 22:00,18.45,19.20,17.62,18.92,270
1993.03.31 22:00,18.93,19.68,18.25,18.90,284
1993.04.30 22:00,18.93,19.24,18.68,19.15,91
1993.05.31 22:00,19.25,19.30,18.10,18.60,176
1993.06.30 22:00,18.61,18.77,17.32,17.51,181
1993.07.30 22:00,17.51,17.51,15.90,16.75,247
1993.08.31 22:00,16.70,17.55,16.25,17.08,223
1993.09.30 22:00,17.05,17.57,15.47,17.43,383
1993.10.29 22:00,17.25,17.48,15.80,15.80,192
1993.11.30 22:00,15.87,16.41,13.97,14.52,354
1993.12.31 22:00,14.44,14.62,13.20,13.20,161
1994.01.31 22:00,13.55,14.58,13.20,14.22,210
1994.02.28 22:00,14.19,15.13,12.90,13.35,363
1994.03.31 22:00,13.43,14.16,12.95,13.25,225
1994.04.29 22:00,14.20,15.87,13.77,15.69,272
1994.05.31 22:00,15.85,16.79,15.45,16.45,209
1994.06.30 22:00,16.44,17.75,15.73,17.52,297
1994.07.29 22:00,17.55,18.68,17.01,18.59,231
1994.08.31 22:00,18.90,19.41,15.60,16.36,509
1994.09.30 22:00,16.40,17.20,15.35,17.15,296
1994.10.31 22:00,17.10,17.32,15.62,16.92,323
1994.11.30 22:00,16.92,17.94,16.34,17.11,302
1994.12.30 22:00,17.12,17.16,15.60,16.50,251
1995.01.31 22:00,16.48,17.08,16.05,16.80,175
1995.02.28 22:00,16.84,17.57,16.58,16.87,196
