Date,Open,High,Low,Close,Volume
1998.05.24 01:00,298.85,300.10,290.40,293.20,2925
1998.05.31 01:00,292.75,294.65,286.75,291.90,3065
1998.06.07 01:00,290.95,299.30,284.50,286.25,5700
1998.06.14 01:00,285.25,300.50,283.70,299.00,4030
1998.06.21 01:00,299.29,299.80,291.90,294.10,3096
1998.06.28 01:00,292.90,298.70,291.90,295.10,2545
1998.07.05 01:00,293.85,296.15,289.50,291.10,2935
1998.07.12 01:00,289.60,295.70,288.00,294.75,2534
1998.07.19 01:00,293.45,296.10,290.20,291.70,2355
1998.07.26 01:00,291.10,292.40,285.70,286.70,2665
1998.08.02 01:00,286.20,290.35,282.50,286.90,3035
1998.08.09 01:00,286.10,287.70,282.00,284.30,2690
1998.08.16 01:00,284.20,287.30,282.20,285.05,2870
1998.08.23 01:00,283.90,285.55,270.75,274.60,3745
1998.08.30 01:00,273.90,287.70,273.80,287.10,3185
1998.09.06 01:00,286.50,297.30,282.90,294.00,4020
1998.09.13 01:00,292.45,293.60,286.35,291.70,3350
1998.09.20 01:00,290.40,300.30,287.05,294.40,3930
1998.09.27 01:00,293.15,303.80,291.60,300.80,3915
1998.10.04 01:00,300.10,305.20,293.80,297.00,3945
1998.10.11 01:00,296.75,301.30,294.40,300.20,3100
1998.10.18 01:00,299.80,300.30,291.20,293.10,2700
1998.10.25 01:00,291.85,295.00,290.60,292.80,1910
1998.11.01 01:00,292.60,295.10,287.60,293.40,2725
1998.11.08 01:00,292.40,298.00,289.50,296.20,3089
1998.11.15 01:00,295.50,298.65,293.25,296.40,2465
1998.11.22 01:00,295.90,297.70,294.90,296.55,1740
1998.11.29 01:00,295.80,296.80,291.20,292.70,2341
1998.12.06 01:00,291.80,297.60,289.30,291.10,3165
1998.12.13 01:00,291.45,296.70,288.40,289.30,2700
1998.12.20 01:00,289.50,291.10,285.00,286.50,2309
1998.12.27 01:00,285.60,289.00,285.50,288.50,1269
1999.01.03 01:00,288.30,292.60,285.90,291.60,2230
1999.01.10 01:00,290.90,293.75,284.40,286.70,2620
1999.01.17 01:00,285.90,289.00,285.05,286.60,1995
1999.01.24 01:00,286.20,288.70,281.40,286.40,2735
1999.01.31 01:00,286.40,290.70,286.00,288.80,2145
1999.02.07 01:00,288.40,290.80,286.20,289.80,1865
1999.02.14 01:00,289.15,290.95,284.20,288.60,2340
1999.02.21 01:00,287.60,288.90,285.10,287.30,2205
1999.02.28 01:00,286.50,289.60,285.10,288.20,2000
1999.03.07 01:00,287.80,294.65,287.70,292.10,1985
1999.03.14 01:00,291.90,292.45,281.40,284.50,3125
1999.03.21 01:00,283.70,285.80,278.70,280.00,2400
1999.03.28 01:00,279.85,281.45,278.10,280.70,1539
1999.04.04 01:00,279.60,282.50,277.00,281.80,2160
1999.04.11 01:00,281.65,285.40,280.50,284.50,2425
1999.04.18 01:00,283.30,285.65,282.35,283.80,1555
1999.04.25 01:00,283.15,288.10,280.05,286.80,2630
1999.05.02 01:00,286.20,290.20,279.05,283.00,3195
1999.05.09 01:00,282.10,282.60,275.10,276.20,2860
1999.05.16 01:00,275.50,277.15,271.85,273.20,2475
1999.05.23 01:00,271.75,273.80,267.40,270.50,2845
1999.05.30 01:00,269.90,271.65,263.25,265.50,3005
1999.06.06 01:00,264.40,267.90,256.90,260.90,3495
1999.06.13 01:00,259.00,263.65,257.75,259.80,2665
1999.06.20 01:00,258.80,261.90,257.70,259.70,2120
1999.06.27 01:00,259.35,263.90,258.80,263.00,1280
1999.07.04 01:00,262.80,263.75,255.25,257.40,3075
1999.07.11 01:00,256.50,257.55,252.45,254.10,2660
1999.07.18 01:00,253.75,257.40,252.05,255.00,2135
1999.07.25 01:00,255.40,257.50,252.60,256.20,2215
1999.08.01 01:00,255.65,258.85,253.60,255.70,2595
1999.08.08 01:00,255.70,261.95,255.15,260.90,2255
1999.08.15 01:00,260.10,262.50,257.10,257.60,2565
1999.08.22 01:00,256.85,258.15,251.70,254.00,2360
1999.08.29 01:00,253.25,256.70,253.05,254.50,2285
1999.09.05 01:00,254.00,257.85,253.95,256.80,1395
1999.09.12 01:00,256.25,258.20,254.50,255.00,1675
1999.09.19 01:00,254.50,271.75,254.15,269.00,3375
1999.09.26 01:00,268.50,327.80,268.50,310.30,17130
1999.10.03 01:00,307.00,342.00,307.00,322.20,13445
1999.10.10 01:00,319.00,326.60,310.50,316.40,8995
1999.10.17 01:00,313.38,320.00,300.10,303.90,7972
1999.10.24 01:00,301.30,304.00,285.75,300.20,6955
1999.10.31 01:00,294.50,299.00,286.00,291.60,5796
1999.11.07 01:00,286.75,299.75,286.40,291.80,4005
1999.11.14 01:00,290.75,297.38,288.60,295.50,3271
1999.11.21 01:00,293.85,300.40,293.40,297.62,2349
1999.11.28 01:00,296.20,298.65,278.88,280.30,4918
1999.12.05 01:00,278.40,286.50,274.00,279.20,4939
1999.12.12 01:00,278.40,286.38,278.00,284.30,3221
1999.12.19 01:00,283.30,291.00,281.88,287.75,3245
1999.12.26 01:00,287.12,292.20,286.50,289.00,2759
2000.01.02 01:00,287.50,291.50,278.70,282.00,4736
2000.01.09 01:00,281.15,285.68,280.25,284.60,2597
2000.01.16 01:00,283.80,290.25,282.40,289.50,2905
2000.01.23 01:00,287.00,291.50,280.30,282.75,4169
2000.01.30 01:00,281.60,315.80,281.50,310.80,6740
2000.02.06 01:00,313.00,327.00,294.80,311.15,11670
2000.02.13 01:00,310.35,316.75,297.00,305.75,8890
2000.02.20 01:00,303.40,307.50,291.10,294.50,5219
2000.02.27 01:00,291.25,295.35,286.88,289.00,4653
2000.03.05 01:00,288.00,294.70,287.00,289.50,4636
2000.03.12 01:00,290.00,292.65,282.40,285.10,4295
2000.03.19 01:00,282.80,292.15,282.35,285.50,5515
2000.03.26 01:00,284.50,285.85,274.00,279.40,4630
2000.04.02 01:00,278.50,289.25,275.30,280.70,6106
2000.04.09 01:00,280.10,287.00,278.55,283.10,4435
