Date,Open,High,Low,Close,Volume
2016.12.01 17:30,1164.47,1169.30,1162.34,1168.29,7346
2016.12.01 18:00,1168.28,1170.54,1166.49,1167.83,8080
2016.12.01 18:30,1167.87,1170.49,1166.71,1167.69,4393
2016.12.01 19:00,1167.68,1167.86,1164.77,1165.09,4578
2016.12.01 19:30,1165.16,1166.99,1164.01,1166.51,5365
2016.12.01 20:00,1166.51,1168.03,1165.56,1167.51,4529
2016.12.01 20:30,1167.47,1171.97,1167.43,1171.72,3124
2016.12.01 21:00,1171.83,1174.33,1170.32,1173.91,4242
2016.12.01 21:30,1173.94,1174.69,1171.16,1172.07,3372
2016.12.01 22:00,1172.05,1172.20,1170.26,1171.08,1508
2016.12.01 22:30,1171.10,1172.57,1170.17,1170.19,2249
2016.12.01 23:00,1170.18,1172.00,1170.18,1171.90,926
2016.12.01 23:30,1171.89,1171.96,1171.04,1171.42,402
2016.12.02 01:00,1172.36,1172.72,1171.57,1171.87,662
2016.12.02 01:30,1171.88,1173.79,1171.79,1173.41,1237
2016.12.02 02:00,1173.39,1175.08,1172.60,1174.88,2558
2016.12.02 02:30,1174.91,1175.49,1173.95,1174.33,1954
2016.12.02 03:00,1174.33,1177.87,1173.89,1176.46,3291
2016.12.02 03:30,1176.44,1176.95,1174.34,1174.57,1314
2016.12.02 04:00,1174.52,1175.77,1174.38,1175.56,1244
2016.12.02 04:30,1175.52,1175.52,1173.36,1174.41,1412
2016.12.02 05:00,1174.42,1174.54,1172.42,1173.54,1418
2016.12.02 05:30,1173.62,1174.75,1173.49,1174.64,1289
2016.12.02 06:00,1174.66,1176.59,1174.53,1175.97,1350
2016.12.02 06:30,1176.02,1176.23,1174.14,1174.24,1092
2016.12.02 07:00,1174.26,1174.95,1174.03,1174.57,1527
2016.12.02 07:30,1174.49,1175.46,1173.48,1173.93,1304
2016.12.02 08:00,1173.92,1174.05,1172.91,1173.59,1260
2016.12.02 08:30,1173.59,1174.29,1173.13,1173.75,1042
2016.12.02 09:00,1173.73,1174.77,1173.20,1173.96,3204
2016.12.02 09:30,1173.96,1174.78,1172.98,1174.65,2959
2016.12.02 10:00,1174.61,1175.59,1174.04,1175.27,5005
2016.12.02 10:30,1175.27,1176.32,1174.76,1176.17,3520
2016.12.02 11:00,1176.15,1176.63,1175.20,1176.30,4103
2016.12.02 11:30,1176.30,1176.52,1174.78,1174.78,3847
2016.12.02 12:00,1174.79,1174.89,1171.51,1171.91,3156
2016.12.02 12:30,1171.96,1172.14,1170.91,1171.51,1675
2016.12.02 13:00,1171.50,1171.74,1169.67,1170.00,2484
2016.12.02 13:30,1170.00,1171.20,1169.32,1171.02,2218
2016.12.02 14:00,1171.01,1172.73,1170.92,1172.24,2466
2016.12.02 14:30,1172.24,1172.89,1170.97,1171.00,1954
2016.12.02 15:00,1170.98,1174.29,1169.95,1170.36,3778
2016.12.02 15:30,1170.42,1175.81,1166.71,1169.56,12081
2016.12.02 16:00,1169.54,1174.73,1168.87,1173.74,9535
2016.12.02 16:30,1173.74,1175.31,1172.67,1174.20,8341
2016.12.02 17:00,1174.25,1178.02,1173.31,1175.16,6862
2016.12.02 17:30,1175.16,1176.84,1174.02,1174.14,5535
2016.12.02 18:00,1174.15,1176.25,1173.17,1173.88,5835
2016.12.02 18:30,1173.87,1176.14,1173.07,1175.22,4847
2016.12.02 19:00,1175.17,1177.31,1174.93,1176.82,3379
2016.12.02 19:30,1176.81,1177.05,1175.05,1175.26,3228
2016.12.02 20:00,1175.26,1176.21,1174.47,1175.61,3448
2016.12.02 20:30,1175.62,1175.71,1173.92,1174.72,2002
2016.12.02 21:00,1174.71,1175.33,1172.90,1173.99,1789
2016.12.02 21:30,1173.98,1174.89,1173.12,1174.44,1710
2016.12.02 22:00,1174.47,1175.06,1173.69,1174.28,1575
2016.12.02 22:30,1174.25,1175.88,1173.36,1175.72,1890
2016.12.02 23:00,1175.70,1176.16,1175.22,1175.38,417
