Date,Open,High,Low,Close,Volume
2015.10.07 09:00,1150.36,1152.96,1146.81,1147.66,19376
2015.10.07 13:00,1147.60,1153.56,1143.73,1145.42,26907
2015.10.07 17:00,1145.38,1150.07,1141.76,1149.69,26998
2015.10.07 21:00,1149.68,1149.76,1145.10,1145.35,5094
2015.10.08 01:00,1145.18,1146.15,1141.54,1143.79,11985
2015.10.08 05:00,1143.75,1144.39,1141.80,1142.83,13728
2015.10.08 09:00,1142.83,1145.20,1140.31,1144.57,14611
2015.10.08 13:00,1144.59,1145.19,1136.55,1139.25,25829
2015.10.08 17:00,1139.30,1146.47,1139.04,1144.40,25258
2015.10.08 21:00,1144.41,1151.18,1138.77,1138.84,17818
2015.10.09 01:00,1138.45,1143.15,1138.45,1142.31,9107
2015.10.09 05:00,1142.30,1148.29,1142.13,1148.26,13300
2015.10.09 09:00,1148.26,1155.06,1145.40,1154.34,26131
2015.10.09 13:00,1154.34,1157.64,1150.75,1151.41,33073
2015.10.09 17:00,1151.42,1159.59,1151.14,1156.33,32734
2015.10.09 21:00,1156.33,1157.84,1154.78,1156.00,7317
2015.10.12 01:00,1155.11,1158.17,1154.73,1157.63,6168
2015.10.12 05:00,1157.66,1164.83,1156.78,1164.22,11496
2015.10.12 09:00,1164.21,1166.61,1163.73,1164.95,19921
2015.10.12 13:00,1164.95,1168.97,1162.99,1163.88,25957
2015.10.12 17:00,1163.85,1165.70,1159.18,1162.83,19480
2015.10.12 21:00,1162.82,1164.80,1160.80,1163.57,5173
2015.10.13 01:00,1162.97,1163.89,1157.57,1158.24,12160
2015.10.13 05:00,1158.24,1158.65,1152.97,1155.42,17411
2015.10.13 09:00,1155.39,1158.24,1153.68,1154.71,20474
2015.10.13 13:00,1154.71,1166.06,1151.74,1165.83,32723
2015.10.13 17:00,1165.88,1167.46,1163.85,1166.24,30409
2015.10.13 21:00,1166.23,1168.73,1164.96,1168.59,7888
2015.10.14 01:00,1168.33,1174.64,1166.47,1173.56,13518
2015.10.14 05:00,1173.60,1174.20,1171.43,1173.83,14779
2015.10.14 09:00,1173.83,1176.08,1164.19,1167.46,25723
2015.10.14 13:00,1167.40,1178.50,1163.32,1173.02,35939
2015.10.14 17:00,1173.03,1184.96,1172.74,1184.76,29030
2015.10.14 21:00,1184.81,1189.78,1183.80,1184.30,14353
2015.10.15 01:00,1183.88,1186.34,1182.49,1182.92,12862
2015.10.15 05:00,1182.92,1187.06,1181.51,1185.68,12586
2015.10.15 09:00,1185.66,1186.02,1182.61,1184.82,21997
2015.10.15 13:00,1184.79,1191.57,1174.17,1181.30,39354
2015.10.15 17:00,1181.26,1190.26,1181.26,1186.07,39479
2015.10.15 21:00,1186.07,1186.98,1181.53,1182.94,9677
2015.10.16 01:00,1182.20,1183.01,1179.21,1179.78,10911
2015.10.16 05:00,1179.78,1180.69,1175.96,1177.23,12882
2015.10.16 09:00,1177.20,1178.42,1175.32,1176.74,21370
2015.10.16 13:00,1176.72,1184.36,1176.15,1182.93,34621
2015.10.16 17:00,1182.93,1184.03,1178.82,1182.10,31660
2015.10.16 21:00,1182.20,1182.83,1174.19,1176.92,7602
2015.10.19 01:00,1176.89,1177.98,1172.57,1173.47,10876
2015.10.19 05:00,1173.48,1175.78,1171.14,1173.40,16317
2015.10.19 09:00,1173.35,1173.80,1170.71,1172.61,19647
2015.10.19 13:00,1172.61,1178.07,1171.11,1175.73,26001
2015.10.19 17:00,1175.73,1176.66,1169.11,1172.66,26171
2015.10.19 21:00,1172.66,1173.25,1168.49,1170.63,4553
2015.10.20 01:00,1170.46,1171.35,1167.41,1168.04,9321
2015.10.20 05:00,1168.04,1170.08,1167.30,1169.83,9987
2015.10.20 09:00,1169.82,1175.22,1169.26,1174.53,21651
2015.10.20 13:00,1174.53,1180.21,1171.38,1177.81,29124
2015.10.20 17:00,1177.81,1180.75,1174.33,1174.96,28190
2015.10.20 21:00,1174.94,1177.44,1174.56,1175.83,5821
2015.10.21 01:00,1175.76,1179.15,1175.00,1177.58,9800
2015.10.21 05:00,1177.55,1178.52,1175.56,1176.16,15317
2015.10.21 09:00,1176.16,1177.77,1173.34,1175.01,18493
2015.10.21 13:00,1174.99,1177.74,1165.01,1167.15,27762
2015.10.21 17:00,1167.14,1167.92,1163.68,1166.50,36063
2015.10.21 21:00,1166.55,1168.05,1166.25,1167.00,7784
2015.10.22 01:00,1165.39,1167.89,1165.39,1165.96,9341
2015.10.22 05:00,1165.97,1166.72,1164.47,1165.38,16234
2015.10.22 09:00,1165.38,1169.86,1164.96,1166.78,24010
2015.10.22 13:00,1166.78,1169.78,1162.49,1167.29,39805
2015.10.22 17:00,1167.29,1171.75,1165.20,1165.80,32262
2015.10.22 21:00,1165.77,1166.59,1164.27,1165.58,7475
2015.10.23 01:00,1165.45,1168.97,1164.36,1168.13,12904
2015.10.23 05:00,1168.12,1170.00,1167.88,1169.98,12786
2015.10.23 09:00,1169.96,1175.04,1168.72,1172.09,30126
2015.10.23 13:00,1172.07,1179.35,1158.89,1160.86,49632
2015.10.23 17:00,1160.86,1164.69,1159.73,1162.71,35180
2015.10.23 21:00,1162.72,1166.59,1162.72,1164.09,8695
2015.10.26 00:00,1163.69,1164.91,1162.18,1164.69,12767
2015.10.26 04:00,1164.67,1166.21,1163.97,1165.85,9923
2015.10.26 08:00,1165.91,1166.28,1162.34,1165.68,21900
2015.10.26 12:00,1165.69,1168.28,1164.06,1165.74,26858
2015.10.26 16:00,1165.74,1169.63,1163.82,1164.53,24998
