dates,signals,safef,comment
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1486752180.0,-1,1,vwap
1484639400.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484639700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484640000.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484640900.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641200.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641800.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484643600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484643900.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644500.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645100.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645700.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646300.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
