dates,signals,safef,comment
1487136480.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 40.96, ""vwap"": 40.93}"
1487136480.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 40.96, ""vwap"": 40.93}"
1487136480.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 40.96, ""vwap"": 40.93}"
1487136540.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.02, ""vwap"": 40.93}"
1487136540.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.02, ""vwap"": 40.93}"
1487136540.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.02, ""vwap"": 40.93}"
1487136600.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.06, ""vwap"": 40.93}"
1487136600.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.06, ""vwap"": 40.93}"
1487136600.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.06, ""vwap"": 40.93}"
1487136660.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.1, ""vwap"": 40.93}"
1487136660.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.1, ""vwap"": 40.93}"
1487136660.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.1, ""vwap"": 40.93}"
1487136720.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.13, ""vwap"": 40.93}"
1487136720.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.13, ""vwap"": 40.93}"
1487136720.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.13, ""vwap"": 40.93}"
1487136780.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.15, ""vwap"": 40.93}"
1487136780.0,1,1,"{""Entry"": 1, ""Exit"": 0, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.15, ""vwap"": 40.93}"
1487136780.0,0,1,"{""Entry"": 0, ""Exit"": 1, ""symPair"": ""5m_#Schwabb5m_#Schwabb"", ""indEMA9"": 41.15, ""vwap"": 40.93}"
