Date,Open,High,Low,Close,Volume
2016.10.11 21:30,116.43,116.45,116.24,116.39,630
2016.10.11 21:45,116.40,116.62,116.39,116.42,752
2016.10.11 22:00,116.42,116.42,116.17,116.29,512
2016.10.11 22:15,116.30,116.56,116.25,116.38,706
2016.10.11 22:30,116.38,116.43,116.21,116.32,654
2016.10.11 22:45,116.33,116.48,116.19,116.29,680
2016.10.12 16:30,117.25,117.64,116.70,116.95,1874
2016.10.12 16:45,116.94,117.13,116.74,116.96,1403
2016.10.12 17:00,116.97,117.07,116.68,117.07,1260
2016.10.12 17:15,117.07,117.20,116.92,117.20,1151
2016.10.12 17:30,117.20,117.22,116.95,117.02,824
2016.10.12 17:45,117.02,117.08,116.70,116.73,853
2016.10.12 18:00,116.73,116.99,116.66,116.93,899
2016.10.12 18:15,116.92,117.22,116.84,117.12,700
2016.10.12 18:30,117.12,117.49,117.10,117.43,590
2016.10.12 18:45,117.43,117.57,117.35,117.57,439
2016.10.12 19:00,117.57,117.63,117.36,117.37,524
2016.10.12 19:15,117.36,117.37,117.20,117.29,417
2016.10.12 19:30,117.29,117.55,117.26,117.44,499
2016.10.12 19:45,117.45,117.52,117.41,117.44,292
2016.10.12 20:00,117.45,117.48,117.39,117.47,276
2016.10.12 20:15,117.47,117.59,117.45,117.59,229
2016.10.12 20:30,117.59,117.70,117.56,117.68,159
2016.10.12 20:45,117.69,117.73,117.63,117.71,195
2016.10.12 21:00,117.71,117.85,117.56,117.82,1300
2016.10.12 21:15,117.83,117.88,117.67,117.71,578
2016.10.12 21:30,117.71,117.73,117.44,117.46,514
2016.10.12 21:45,117.45,117.45,117.20,117.21,617
2016.10.12 22:00,117.22,117.38,117.11,117.35,753
2016.10.12 22:15,117.35,117.43,117.19,117.20,544
2016.10.12 22:30,117.20,117.44,117.02,117.42,583
2016.10.12 22:45,117.42,117.55,117.24,117.24,637
2016.10.13 16:30,117.11,117.18,116.39,116.49,1915
2016.10.13 16:45,116.49,116.49,115.89,116.19,1566
2016.10.13 17:00,116.19,116.25,116.00,116.13,957
2016.10.13 17:15,116.14,116.35,115.85,115.87,880
2016.10.13 17:30,115.88,116.07,115.66,116.02,1082
2016.10.13 17:45,116.02,116.09,115.79,115.97,929
2016.10.13 18:00,115.97,116.21,115.83,116.18,1044
2016.10.13 18:15,116.18,116.48,116.16,116.36,1101
2016.10.13 18:30,116.36,116.59,116.35,116.48,859
2016.10.13 18:45,116.48,116.64,116.45,116.50,787
2016.10.13 19:00,116.50,116.62,116.36,116.55,690
2016.10.13 19:15,116.56,116.61,116.47,116.52,727
2016.10.13 19:30,116.52,116.83,116.51,116.69,844
2016.10.13 19:45,116.70,116.75,116.56,116.65,492
2016.10.13 20:00,116.65,116.65,116.50,116.54,448
2016.10.13 20:15,116.55,116.60,116.43,116.56,562
2016.10.13 20:30,116.57,116.59,116.44,116.50,451
2016.10.13 20:45,116.50,116.93,116.45,116.89,443
2016.10.13 21:00,116.89,116.94,116.80,116.83,617
2016.10.13 21:15,116.83,116.96,116.72,116.95,577
2016.10.13 21:30,116.95,117.10,116.92,117.05,492
2016.10.13 21:45,117.05,117.12,116.92,117.10,512
2016.10.13 22:00,117.11,117.34,117.00,117.24,397
2016.10.13 22:15,117.25,117.25,116.92,116.95,487
2016.10.13 22:30,116.95,117.02,116.85,116.92,477
2016.10.13 22:45,116.92,116.95,116.61,116.90,488
2016.10.14 16:30,117.89,118.06,117.41,117.60,1433
2016.10.14 16:45,117.61,117.81,117.47,117.47,831
2016.10.14 17:00,117.48,117.55,117.14,117.47,1148
2016.10.14 17:15,117.48,117.67,117.43,117.48,652
2016.10.14 17:30,117.48,117.68,117.47,117.62,823
2016.10.14 17:45,117.63,117.73,117.50,117.56,689
2016.10.14 18:00,117.55,117.59,117.37,117.40,659
2016.10.14 18:15,117.39,117.54,117.35,117.41,437
2016.10.14 18:30,117.40,117.40,117.04,117.22,821
2016.10.14 18:45,117.22,117.33,117.19,117.24,659
2016.10.14 19:00,117.23,117.36,117.21,117.30,691
2016.10.14 19:15,117.30,117.59,117.20,117.58,584
2016.10.14 19:30,117.59,117.61,117.46,117.47,511
2016.10.14 19:45,117.48,117.52,117.40,117.49,314
2016.10.14 20:00,117.49,117.51,117.36,117.37,354
2016.10.14 20:15,117.36,117.42,117.32,117.34,339
2016.10.14 20:30,117.34,117.80,117.33,117.58,769
2016.10.14 20:45,117.57,117.59,117.29,117.45,534
2016.10.14 21:00,117.45,117.45,117.25,117.31,596
2016.10.14 21:15,117.31,117.60,117.28,117.55,817
2016.10.14 21:30,117.55,117.58,117.44,117.55,629
2016.10.14 21:45,117.54,117.58,117.38,117.42,670
2016.10.14 22:00,117.42,117.64,117.42,117.60,556
2016.10.14 22:15,117.60,117.69,117.52,117.52,648
2016.10.14 22:30,117.52,117.78,117.46,117.63,594
2016.10.14 22:45,117.63,117.69,117.50,117.57,644
2016.10.17 16:30,117.50,117.74,116.75,117.01,1502
2016.10.17 16:45,117.00,117.20,116.81,116.82,913
2016.10.17 17:00,116.83,117.04,116.69,116.98,874
2016.10.17 17:15,116.98,117.28,116.82,117.25,660
2016.10.17 17:30,117.26,117.36,117.13,117.29,515
2016.10.17 17:45,117.29,117.35,117.16,117.23,527
2016.10.17 18:00,117.24,117.47,117.19,117.26,501
2016.10.17 18:15,117.26,117.26,116.91,117.00,521
2016.10.17 18:30,117.01,117.09,116.94,117.06,579
2016.10.17 18:45,117.06,117.25,116.97,117.17,356
2016.10.17 19:00,117.18,117.22,117.02,117.03,407
2016.10.17 19:15,117.03,117.21,117.01,117.04,411
2016.10.17 19:30,117.04,117.11,116.96,117.04,345
2016.10.17 19:45,117.04,117.04,116.85,116.86,320
2016.10.17 20:00,116.87,116.96,116.84,116.95,345
2016.10.17 20:15,116.96,116.96,116.86,116.91,424
2016.10.17 20:30,116.91,117.10,116.89,117.05,323
2016.10.17 20:45,117.04,117.09,116.87,116.91,290
2016.10.17 21:00,116.90,117.07,116.90,117.04,262
2016.10.17 21:15,117.04,117.10,116.98,117.08,277
2016.10.17 21:30,117.08,117.08,117.00,117.02,197
2016.10.17 21:45,117.02,117.23,117.01,117.22,182
2016.10.17 22:00,117.21,117.32,117.18,117.22,176
2016.10.17 22:15,117.22,117.39,117.22,117.39,125
2016.10.17 22:30,117.39,117.47,117.34,117.38,257
2016.10.17 22:45,117.39,117.46,117.37,117.46,206
2016.10.18 16:30,117.94,118.00,117.50,117.86,1312
2016.10.18 16:45,117.86,118.11,117.81,117.93,732
2016.10.18 17:00,117.92,118.00,117.80,117.80,590
2016.10.18 17:15,117.81,117.91,117.62,117.85,768
2016.10.18 17:30,117.85,118.04,117.84,117.99,537
2016.10.18 17:45,117.99,118.02,117.89,117.91,335
2016.10.18 18:00,117.91,117.99,117.91,117.96,346
2016.10.18 18:15,117.95,117.95,117.79,117.83,517
2016.10.18 18:30,117.83,117.91,117.74,117.89,520
2016.10.18 18:45,117.90,117.98,117.87,117.94,292
2016.10.18 19:00,117.95,118.05,117.94,117.95,174
2016.10.18 19:15,117.96,118.09,117.93,118.07,271
2016.10.18 19:30,118.08,118.09,117.92,117.93,255
2016.10.18 19:45,117.93,117.94,117.79,117.89,248
2016.10.18 20:00,117.90,117.95,117.86,117.92,192
2016.10.18 20:15,117.93,118.04,117.93,117.99,219
2016.10.18 20:30,117.98,117.99,117.86,117.99,289
2016.10.18 20:45,117.97,117.98,117.85,117.90,222
2016.10.18 21:00,117.90,117.94,117.82,117.83,198
2016.10.18 21:15,117.83,117.88,117.77,117.83,296
2016.10.18 21:30,117.83,117.88,117.76,117.78,219
2016.10.18 21:45,117.78,117.79,117.72,117.78,249
2016.10.18 22:00,117.77,117.78,117.43,117.49,299
2016.10.18 22:15,117.49,117.53,117.37,117.44,406
