Date,Open,High,Low,Close,Volume
2008.12.17 04:00,12.98,13.00,12.56,12.72,17376
2008.12.18 04:00,12.76,12.96,12.62,12.77,16323
2008.12.19 04:00,12.85,12.97,12.67,12.80,15525
2008.12.22 04:00,12.84,12.85,12.08,12.23,14364
2008.12.23 04:00,12.40,12.54,12.26,12.32,14447
2008.12.24 04:00,12.28,12.29,12.06,12.13,6699
2008.12.26 04:00,12.36,12.47,12.16,12.26,6666
2008.12.29 04:00,12.38,12.50,12.14,12.36,10199
2008.12.30 04:00,12.48,12.56,12.09,12.31,15268
2008.12.31 04:00,12.26,12.52,12.20,12.20,11235
2009.01.02 04:00,12.23,12.99,12.16,12.91,12947
2009.01.05 04:00,13.29,13.72,13.23,13.51,16044
2009.01.06 04:00,13.69,13.86,13.19,13.26,19453
2009.01.07 04:00,13.09,13.20,12.88,12.97,13996
2009.01.08 04:00,12.91,13.29,12.85,13.23,14449
2009.01.09 04:00,13.30,13.32,12.86,12.91,13231
2009.01.12 04:00,12.91,12.98,12.49,12.65,11858
2009.01.13 04:00,12.58,12.80,12.32,12.49,14473
2009.01.14 04:00,12.32,12.45,12.09,12.21,13052
2009.01.15 04:00,11.48,12.00,11.42,11.90,17512
2009.01.16 04:00,12.02,12.04,11.47,11.75,15178
2009.01.20 04:00,11.67,11.69,11.17,11.24,14298
2009.01.21 04:00,11.34,11.82,11.32,11.80,16820
2009.01.22 04:00,12.58,12.84,12.25,12.66,21017
2009.01.23 04:00,12.40,12.82,12.34,12.60,15612
2009.01.26 04:00,12.69,12.98,12.60,12.77,19037
2009.01.27 04:00,12.88,13.06,12.80,12.96,14433
2009.01.28 04:00,13.14,13.56,13.06,13.44,17771
2009.01.29 04:00,13.29,13.45,13.21,13.26,13473
2009.01.30 04:00,13.21,13.36,12.84,12.90,12282
2009.02.02 04:00,12.73,13.13,12.69,13.08,12375
2009.02.03 04:00,13.11,13.32,12.89,13.25,12503
2009.02.04 04:00,13.31,13.73,13.29,13.35,13844
2009.02.05 04:00,13.24,13.88,13.22,13.72,13265
2009.02.06 04:00,13.84,14.27,13.84,14.21,10534
2009.02.09 04:00,14.29,14.70,14.20,14.64,11434
2009.02.10 04:00,14.45,14.62,13.85,14.00,11901
2009.02.11 04:00,13.73,14.03,13.67,13.81,15924
2009.02.12 04:00,13.69,14.23,13.69,14.17,17190
2009.02.13 04:00,14.14,14.26,14.01,14.14,16501
2009.02.17 04:00,13.83,13.84,13.46,13.51,16305
2009.02.18 04:00,13.58,13.67,13.23,13.47,17599
2009.02.19 04:00,13.32,13.44,12.86,12.95,13091
2009.02.20 04:00,12.77,13.18,12.71,13.00,17051
2009.02.23 04:00,13.08,13.12,12.34,12.42,14077
2009.02.24 04:00,12.48,12.97,12.43,12.86,13438
2009.02.25 04:00,12.84,13.26,12.74,13.02,14184
2009.02.26 04:00,13.15,13.26,12.69,12.74,13313
2009.02.27 04:00,12.55,13.03,12.51,12.78,13821
2009.03.02 04:00,12.59,13.01,12.51,12.58,14285
2009.03.03 04:00,12.70,12.95,12.54,12.63,14860
2009.03.04 04:00,12.83,13.23,12.77,13.03,13122
2009.03.05 04:00,12.91,13.11,12.62,12.72,12159
2009.03.06 04:00,12.60,12.61,11.75,12.18,12271
2009.03.09 04:00,12.03,12.49,11.78,11.83,10572
2009.03.10 04:00,12.10,12.72,12.04,12.62,9030
2009.03.11 04:00,12.82,13.42,12.78,13.26,10370
2009.03.12 04:00,13.27,13.78,13.13,13.73,9279
2009.03.13 04:00,13.69,13.86,13.56,13.66,9257
2009.03.16 04:00,13.77,13.89,13.44,13.64,9637
2009.03.17 04:00,13.58,14.20,13.57,14.19,10408
2009.03.18 04:00,14.26,14.76,14.23,14.44,9632
2009.03.19 04:00,14.56,14.72,14.31,14.51,8672
2009.03.20 04:00,14.53,14.71,14.35,14.47,10925
2009.03.23 04:00,14.66,15.31,14.54,15.31,8212
2009.03.24 04:00,15.17,15.61,15.04,15.20,9548
2009.03.25 04:00,15.33,15.46,14.83,15.24,10060
2009.03.26 04:00,15.39,15.67,15.35,15.65,9909
2009.03.27 04:00,15.45,15.48,15.18,15.22,8165
2009.03.30 04:00,14.90,14.98,14.65,14.88,10903
2009.03.31 04:00,15.04,15.33,14.99,14.99,9243
2009.04.01 04:00,14.85,15.55,14.83,15.50,10377
2009.04.02 04:00,15.72,16.36,15.67,16.04,12309
2009.04.03 04:00,16.31,16.57,16.20,16.55,9280
2009.04.06 04:00,16.41,16.95,16.17,16.88,10949
2009.04.07 04:00,16.62,16.64,16.30,16.38,10806
2009.04.08 04:00,16.46,16.66,16.36,16.59,10265
2009.04.09 04:00,16.92,17.13,16.84,17.06,9129
2009.04.13 04:00,17.12,17.26,16.98,17.16,10627
2009.04.14 04:00,17.05,17.15,16.73,16.89,7653
2009.04.15 04:00,16.72,16.88,16.52,16.79,6813
2009.04.16 04:00,17.01,17.57,16.96,17.33,7734
2009.04.17 04:00,17.23,17.73,17.17,17.61,7010
2009.04.20 04:00,17.38,17.55,17.01,17.21,6452
2009.04.21 04:00,16.94,17.43,16.94,17.40,9930
2009.04.22 04:00,17.48,17.88,17.31,17.32,10938
2009.04.23 04:00,18.13,18.15,17.63,17.91,12951
2009.04.24 04:00,17.73,17.84,17.56,17.66,8320
2009.04.27 04:00,17.54,17.84,17.51,17.83,7722
2009.04.28 04:00,17.62,18.01,17.60,17.68,8958
2009.04.29 04:00,17.82,18.10,17.68,17.86,8331
2009.04.30 04:00,18.01,18.12,17.83,17.91,10368
2009.05.01 04:00,17.96,18.26,17.96,18.15,9543
2009.05.04 04:00,18.29,18.85,18.23,18.85,9568
2009.05.05 04:00,18.81,18.96,18.72,18.93,7349
2009.05.06 04:00,18.95,19.01,18.59,18.87,7831
2009.05.07 04:00,18.88,18.89,18.26,18.40,7222
2009.05.08 04:00,18.43,18.69,18.02,18.41,8762
2009.05.11 04:00,18.20,18.69,18.14,18.43,7017
2009.05.12 04:00,18.50,18.51,17.66,17.77,8806
2009.05.13 04:00,17.59,17.70,17.06,17.06,8388
2009.05.14 04:00,17.12,17.63,17.09,17.53,5461
2009.05.15 04:00,17.45,17.79,17.36,17.47,6421
2009.05.18 04:00,17.67,18.08,17.35,18.04,8103
2009.05.19 04:00,18.10,18.45,17.95,18.19,7124
2009.05.20 04:00,18.22,18.44,17.89,17.94,7744
2009.05.21 04:00,17.84,18.09,17.54,17.70,6929
2009.05.22 04:00,17.72,17.72,17.38,17.50,5898
2009.05.26 04:00,18.14,18.67,18.12,18.65,6586
2009.05.27 04:00,18.75,19.26,18.69,18.97,9569
2009.05.28 04:00,19.04,19.32,18.85,19.29,8776
2009.05.29 04:00,19.33,19.35,19.11,19.35,7084
