Date,Open,High,Low,Close,Volume
2013.08.23 19:31,71.53,71.66,71.42,71.55,3518
2013.08.26 15:31,71.71,72.87,71.69,72.68,6560
2013.08.26 19:31,72.68,72.69,71.77,71.82,4181
2013.08.27 15:31,71.25,71.77,69.75,69.86,9383
2013.08.27 19:31,69.86,70.40,69.47,69.76,6457
2013.08.28 15:31,69.64,70.81,69.64,70.65,7682
2013.08.28 19:31,70.66,70.76,70.04,70.10,4302
2013.08.29 15:31,70.46,70.92,70.35,70.53,7183
2013.08.29 19:31,70.53,70.61,70.17,70.24,4022
2013.08.30 15:31,70.20,70.39,69.50,69.79,6649
2013.08.30 19:31,69.79,69.80,69.51,69.53,2918
2013.09.03 15:31,70.50,70.97,70.06,70.17,8454
2013.09.03 19:31,70.17,70.20,69.62,69.78,5208
2013.09.04 15:31,71.38,71.73,71.05,71.33,7516
2013.09.04 19:31,71.33,71.36,70.90,71.24,3745
2013.09.05 15:31,71.39,71.39,70.52,70.67,6690
2013.09.05 19:31,70.68,70.76,70.60,70.73,2696
2013.09.06 15:31,71.01,71.26,69.99,70.96,7347
2013.09.06 19:31,70.96,71.33,70.83,71.17,4635
2013.09.09 15:31,72.19,72.52,71.93,72.39,7878
2013.09.09 19:31,72.39,72.55,72.17,72.30,4048
2013.09.10 15:31,72.15,72.48,71.26,71.90,8636
2013.09.10 19:31,71.92,72.24,69.93,70.64,10019
2013.09.11 15:31,66.84,67.65,66.42,66.97,13257
2013.09.11 19:31,66.98,67.28,66.64,66.80,5780
2013.09.12 15:31,67.08,67.90,66.57,67.62,8626
2013.09.12 19:31,67.62,67.72,67.26,67.50,4151
2013.09.13 15:31,67.21,67.39,66.64,66.68,7133
2013.09.13 19:31,66.68,66.77,66.38,66.41,3873
2013.09.16 15:31,65.82,65.83,64.59,64.99,8326
2013.09.16 19:31,64.99,65.02,63.89,64.28,5887
2013.09.17 15:31,64.17,65.66,64.14,65.39,9539
2013.09.17 19:31,65.39,65.55,64.93,65.03,4154
2013.09.18 15:31,66.07,66.61,65.82,65.90,8004
2013.09.18 19:31,65.90,66.54,65.81,66.37,5131
2013.09.19 15:31,67.07,67.96,67.06,67.84,8221
2013.09.19 19:31,67.84,67.88,67.37,67.49,3985
2013.09.20 15:31,68.23,68.30,67.19,67.38,7167
2013.09.20 19:31,67.34,67.36,66.72,66.72,3877
2013.09.23 15:31,70.59,70.72,68.94,69.43,9978
2013.09.23 19:31,69.43,70.37,69.42,70.11,5196
2013.09.24 15:31,70.55,70.77,69.69,70.19,7023
2013.09.24 19:31,70.18,70.20,69.77,69.86,3390
2013.09.25 15:31,69.87,69.93,68.77,68.99,8331
2013.09.25 19:31,68.99,69.15,68.79,68.79,4226
2013.09.26 15:31,69.41,69.78,69.13,69.33,6102
2013.09.26 19:31,69.33,69.49,69.15,69.46,3039
2013.09.27 15:31,69.16,69.16,68.78,68.94,5881
2013.09.27 19:31,68.94,69.00,68.67,68.92,3301
2013.09.30 15:31,67.91,68.79,67.82,68.38,5373
2013.09.30 19:31,68.38,68.45,67.94,68.10,3562
2013.10.01 15:31,68.43,69.86,68.37,69.65,7910
2013.10.01 19:31,69.65,69.74,69.33,69.71,4122
2013.10.02 15:31,69.38,70.25,69.11,69.93,6772
2013.10.02 19:31,69.93,70.09,69.79,69.92,2853
2013.10.03 15:31,70.11,70.26,68.67,69.17,8355
2013.10.03 19:31,69.18,69.26,68.91,69.04,4129
2013.10.04 15:31,69.14,69.21,68.37,68.77,5561
2013.10.04 19:31,68.78,69.13,68.64,68.99,3501
2013.10.07 15:31,69.60,70.37,69.34,70.11,7758
2013.10.07 19:31,70.11,70.27,69.50,69.66,4137
2013.10.08 15:31,69.89,70.07,68.75,68.96,8409
2013.10.08 19:31,68.96,69.00,68.65,68.71,4156
2013.10.09 15:31,69.12,69.23,68.33,69.11,8123
2013.10.09 19:31,69.11,69.67,68.96,69.49,5253
2013.10.10 15:31,70.06,70.33,69.64,70.03,7133
2013.10.10 19:31,70.03,70.12,69.63,69.96,4174
2013.10.11 15:31,69.41,70.24,69.31,70.18,7122
2013.10.11 19:31,70.18,70.54,70.14,70.42,4083
2013.10.14 15:31,69.95,70.99,69.88,70.85,6244
2013.10.14 19:31,70.85,71.04,70.70,70.82,3200
2013.10.15 15:31,71.13,71.61,70.75,71.44,7244
2013.10.15 19:31,71.45,71.67,71.09,71.21,4218
2013.10.16 15:31,71.48,71.74,71.28,71.57,5884
2013.10.16 19:31,71.58,71.65,71.46,71.54,2501
2013.10.17 15:31,71.48,72.07,71.35,71.87,5544
2013.10.17 19:31,71.87,72.06,71.82,72.04,2574
2013.10.18 15:31,72.29,72.71,72.24,72.50,4785
2013.10.18 19:31,72.50,72.65,72.48,72.65,2942
2013.10.21 15:31,74.06,74.86,73.99,74.72,6896
2013.10.21 19:31,74.72,74.78,74.18,74.46,3776
2013.10.22 15:31,75.28,75.45,72.59,73.97,8403
2013.10.22 19:31,73.97,74.57,72.95,74.19,5353
2013.10.23 15:31,74.35,74.95,74.15,74.87,6699
2013.10.23 19:31,74.87,75.03,74.60,74.94,3999
2013.10.24 15:31,74.98,75.92,74.60,75.76,7446
2013.10.24 19:31,75.76,76.02,75.65,75.94,3255
2013.10.25 15:31,75.87,76.12,75.10,75.56,6347
2013.10.25 19:31,75.57,75.76,74.98,75.08,3994
2013.10.28 15:31,75.48,75.71,74.72,75.41,6343
2013.10.28 19:31,75.41,75.81,75.32,75.65,4261
2013.10.29 15:31,76.87,76.99,74.38,75.04,10325
2013.10.29 19:31,75.04,75.05,73.46,73.73,5359
2013.10.30 15:31,74.22,75.32,73.84,74.82,6207
2013.10.30 19:31,74.82,75.16,74.36,74.95,3892
2013.10.31 15:31,74.99,75.31,74.43,74.90,6693
2013.10.31 19:31,74.91,75.04,74.61,74.61,3600
2013.11.01 15:31,74.77,74.92,73.66,73.69,6280
2013.11.01 19:31,73.69,74.31,73.66,74.24,3680
2013.11.04 16:31,74.24,74.96,74.09,74.57,5679
2013.11.04 20:31,74.56,75.21,74.48,75.20,3405
2013.11.05 16:31,75.01,75.50,74.68,75.15,5192
2013.11.05 20:31,75.16,75.28,74.96,75.03,2821
2013.11.06 16:31,74.88,74.93,73.99,74.27,6114
2013.11.06 20:31,74.27,74.40,74.15,74.36,2790
2013.11.07 16:31,74.38,74.69,73.74,73.79,6073
2013.11.07 20:31,73.79,73.85,73.16,73.20,3854
2013.11.08 16:31,73.50,74.28,73.20,74.27,6634
2013.11.08 20:31,74.28,74.40,74.21,74.31,3513
2013.11.11 16:31,74.19,74.47,73.45,73.98,5476
2013.11.11 20:31,73.99,74.36,73.87,74.11,2542
2013.11.12 16:31,73.93,74.80,73.91,74.41,6016
2013.11.12 20:31,74.41,74.43,74.00,74.25,3514
2013.11.13 16:31,74.01,74.56,73.83,74.37,5131
2013.11.13 20:31,74.37,74.42,74.02,74.33,2701
2013.11.14 16:31,74.62,75.40,74.59,75.34,7737
2013.11.14 20:31,75.34,75.56,75.24,75.44,3578
2013.11.15 16:31,75.22,75.53,74.94,75.09,5618
2013.11.15 20:31,75.10,75.10,74.89,74.96,2609
2013.11.18 16:31,74.96,75.26,74.54,74.72,6532
2013.11.18 20:31,74.72,74.96,73.99,74.06,3918
2013.11.19 16:31,74.22,74.72,74.02,74.03,5933
2013.11.19 20:31,74.04,74.30,73.96,74.18,3072
2013.11.20 16:31,74.14,74.30,73.84,73.89,5989
2013.11.20 20:31,73.90,74.00,73.44,73.53,4295
2013.11.21 16:31,73.85,74.06,73.35,73.70,5618
2013.11.21 20:31,73.69,74.41,73.65,74.41,3348
2013.11.22 16:31,74.29,74.55,74.05,74.22,6259
2013.11.22 20:31,74.22,74.25,74.13,74.19,2740
2013.11.25 16:31,74.51,75.05,74.48,74.93,5181
2013.11.25 20:31,74.93,75.08,74.71,74.78,2636
2013.11.26 16:31,74.88,76.38,74.87,76.34,7557
2013.11.26 20:31,76.34,76.54,76.18,76.21,4620
2013.11.27 16:31,76.61,77.81,76.61,77.65,7525
2013.11.27 20:31,77.65,77.96,77.54,77.95,2775
2013.11.29 16:31,78.46,79.71,78.24,79.38,6391
2013.12.02 16:31,79.73,80.58,78.85,79.10,9968
2013.12.02 20:31,79.10,79.28,78.65,78.71,4173
2013.12.03 16:31,79.88,80.42,79.76,79.99,8266
2013.12.03 20:31,79.99,80.86,79.91,80.85,4209
2013.12.04 16:31,80.62,81.27,80.09,80.18,7509
2013.12.04 20:31,80.17,80.91,80.14,80.64,3875
2013.12.05 16:31,81.55,82.11,81.19,81.59,6973
2013.12.05 20:31,81.59,81.70,80.88,81.09,4574
2013.12.06 16:31,80.63,80.91,80.14,80.24,7703
2013.12.06 20:31,80.24,80.53,79.90,79.94,3904
2013.12.09 16:31,80.27,81.32,80.27,81.29,7972
2013.12.09 20:31,81.30,81.32,80.81,80.90,3463
2013.12.10 16:31,80.60,81.07,80.16,80.76,7694
2013.12.10 20:31,80.75,80.97,80.59,80.76,3397
2013.12.11 16:31,81.13,81.50,80.20,80.23,8346
2013.12.11 20:31,80.23,80.46,79.91,80.14,4838
2013.12.12 16:31,80.40,80.71,80.02,80.25,7827
2013.12.12 20:31,80.25,80.35,79.96,80.05,4003
2013.12.13 16:31,80.24,80.32,79.08,79.35,7610
2013.12.13 20:31,79.35,79.36,79.05,79.16,3387
2013.12.16 16:31,79.50,80.31,79.34,79.89,6895
2013.12.16 20:31,79.88,80.01,79.41,79.58,3324
2013.12.17 16:31,79.47,79.87,79.01,79.49,5529
2013.12.17 20:31,79.49,79.73,79.18,79.23,3086
2013.12.18 16:31,78.28,78.65,76.94,77.19,10617
2013.12.18 20:31,77.19,78.72,76.94,78.58,8097
2013.12.19 16:31,78.29,78.52,77.64,77.83,7857
2013.12.19 20:31,77.83,78.05,77.67,77.73,3278
2013.12.20 16:31,77.86,78.75,77.80,78.45,7228
2013.12.20 20:31,78.45,78.54,78.39,78.40,3439
2013.12.23 16:31,80.68,81.09,80.35,81.09,7660
2013.12.23 20:31,81.09,81.48,80.77,81.40,4908
2013.12.24 16:31,81.30,81.64,80.82,80.99,5579
2013.12.26 16:31,81.15,81.29,80.44,80.71,5393
2013.12.26 20:31,80.71,80.78,80.46,80.50,2624
2013.12.27 16:31,80.37,80.55,79.89,80.00,5432
2013.12.27 20:31,80.00,80.04,79.89,79.96,2447
2013.12.30 16:31,79.55,79.67,78.87,78.99,6807
2013.12.30 20:31,78.99,79.46,78.88,79.17,3322
2013.12.31 16:31,79.13,80.13,79.13,80.00,4566
2014.01.02 16:31,79.27,79.53,78.90,78.92,6726
2014.01.02 20:31,78.92,79.05,78.81,78.97,3565
2014.01.03 16:31,78.89,78.91,77.45,77.60,8389
2014.01.03 20:31,77.59,77.87,77.16,77.24,4168
2014.01.06 16:31,76.86,77.88,76.20,77.73,8521
2014.01.06 20:31,77.73,78.06,77.60,77.65,4566
2014.01.07 16:31,77.60,77.94,77.08,77.27,5876
2014.01.07 20:31,77.27,77.31,76.80,77.11,3948
2014.01.08 16:31,77.01,77.88,76.94,77.63,7313
2014.01.08 20:31,77.64,77.80,77.30,77.56,4273
2014.01.09 16:31,77.90,78.06,76.88,77.09,5883
2014.01.09 20:31,77.09,77.14,76.44,76.63,4225
2014.01.10 16:31,77.01,77.20,75.83,75.92,7069
2014.01.10 20:31,75.93,76.19,75.89,76.08,3335
2014.01.13 16:31,75.80,77.45,75.69,76.88,6748
2014.01.13 20:31,76.89,77.03,75.82,76.50,4882
2014.01.14 16:31,76.97,78.05,76.77,77.75,6956
2014.01.14 20:31,77.75,78.00,77.53,77.99,3236
2014.01.15 16:31,78.82,79.97,78.78,79.74,7004
2014.01.15 20:31,79.75,79.84,79.35,79.53,3981
2014.01.16 16:31,79.33,79.49,78.77,79.39,5944
2014.01.16 20:31,79.40,79.41,79.07,79.13,3217
2014.01.17 16:31,78.70,78.81,77.91,77.95,6390
2014.01.17 20:31,77.95,77.95,77.09,77.16,5679
2014.01.21 16:31,77.18,78.52,77.18,78.50,7590
2014.01.21 20:31,78.50,78.52,78.25,78.37,3699
2014.01.22 15:30,78.71,78.99,78.23,78.89,2736
2014.01.22 19:30,79.33,79.39,78.76,78.91,5373
2014.01.23 15:30,78.60,78.78,78.01,78.01,5998
2014.01.23 19:30,78.17,78.67,78.10,78.63,7654
2014.01.24 15:30,78.88,79.30,78.61,78.89,6597
2014.01.24 16:31,78.88,78.92,78.32,78.74,8201
2014.01.24 19:30,78.74,78.80,78.53,78.56,6859
2014.01.27 15:30,78.73,79.19,78.63,78.79,6478
2014.01.27 19:30,78.27,78.59,78.05,78.52,7157
2014.01.28 15:30,72.05,73.39,71.68,73.21,9406
2014.01.28 19:30,72.62,72.91,72.53,72.56,8150
2014.01.29 15:30,72.17,72.41,71.22,71.43,7576
2014.01.29 19:30,71.51,71.65,71.40,71.58,7514
2014.01.29 20:31,71.59,71.70,71.42,71.49,6046
2014.01.30 15:30,71.72,72.29,71.21,71.28,6652
2014.01.30 19:30,71.57,71.84,71.46,71.49,4849
2014.01.31 15:30,70.84,71.14,70.69,70.71,5762
2014.01.31 19:30,71.31,71.35,71.06,71.31,7140
2014.02.03 15:30,71.75,72.47,71.60,71.90,5397
2014.02.03 16:31,71.75,72.10,71.68,71.87,6862
2014.02.03 19:30,71.88,71.96,71.38,71.48,5908
2014.02.03 20:31,71.47,71.65,71.31,71.62,4313
2014.02.04 15:30,72.32,72.47,71.78,72.11,6688
2014.02.04 19:30,72.66,72.71,72.53,72.63,6026
2014.02.04 20:31,72.63,72.65,72.45,72.63,4718
2014.02.05 15:30,72.48,73.12,72.44,72.70,5669
2014.02.05 19:30,73.30,73.54,73.28,73.43,4781
2014.02.05 20:31,73.43,73.43,73.17,73.17,3723
2014.02.06 15:30,73.03,73.14,72.50,72.99,5554
2014.02.06 19:30,73.12,73.20,73.03,73.18,4857
2014.02.06 20:31,73.18,73.27,73.15,73.15,3618
2014.02.07 15:30,74.32,74.52,73.87,74.11,5597
2014.02.07 16:31,74.32,74.63,74.23,74.63,6504
2014.02.07 19:30,74.63,74.65,74.39,74.40,4657
2014.02.10 15:30,74.20,75.41,74.19,75.18,6573
2014.02.10 19:30,75.77,75.94,75.44,75.56,5577
2014.02.10 20:31,75.54,75.59,75.40,75.53,3928
2014.02.11 15:30,75.88,76.28,75.60,76.16,5285
2014.02.11 19:30,76.47,76.67,76.41,76.59,4591
2014.02.11 20:31,76.59,76.76,76.43,76.51,3383
2014.02.12 15:30,76.78,76.98,76.13,76.44,6535
2014.02.12 19:30,76.49,76.73,76.32,76.64,5783
2014.02.13 15:30,76.47,77.15,76.32,77.09,5066
2014.02.13 19:30,77.49,77.62,77.46,77.57,4412
2014.02.13 20:31,77.56,77.68,77.50,77.68,3616
2014.02.14 15:30,77.47,77.94,77.40,77.68,5899
2014.02.14 19:30,77.49,77.66,77.40,77.55,5286
2014.02.14 20:31,77.56,77.65,77.48,77.65,3978
2014.02.18 15:30,78.07,78.69,77.91,78.63,4804
2014.02.18 19:30,78.50,78.51,78.31,78.40,4136
2014.02.19 15:30,77.78,78.05,77.40,77.61,6193
2014.02.19 19:30,76.46,77.01,76.46,76.97,6378
2014.02.20 15:30,76.20,76.66,75.59,76.33,5459
2014.02.20 19:30,75.75,75.93,75.67,75.70,4780
2014.02.21 15:30,76.11,76.31,75.71,75.84,5921
2014.02.21 19:30,75.22,75.34,75.07,75.27,5700
2014.02.24 15:30,74.80,75.50,74.59,75.30,5143
2014.02.24 16:31,74.80,75.24,74.71,74.76,6518
2014.02.24 19:30,74.77,74.89,74.60,74.89,5242
2014.02.25 15:30,75.49,75.58,74.81,74.99,5264
2014.02.25 19:30,74.93,75.04,74.83,75.01,5271
2014.02.26 15:30,74.83,74.94,73.88,74.16,4806
2014.02.26 19:30,74.14,74.18,74.02,74.10,4660
2014.02.27 15:30,74.13,74.70,73.70,74.66,5811
2014.02.27 19:30,74.91,75.22,74.91,75.15,6453
2014.02.27 20:31,75.15,75.36,75.12,75.33,4494
2014.02.28 15:30,75.43,76.05,75.43,75.64,5592
2014.02.28 16:31,75.43,75.66,75.42,75.46,6555
2014.02.28 19:30,75.46,75.51,75.21,75.37,6000
2014.03.03 15:30,74.92,75.75,74.70,75.36,6204
2014.03.03 16:31,74.92,75.03,74.65,74.76,7422
2014.03.03 19:30,74.77,75.19,74.74,75.10,5293
2014.03.03 20:31,75.10,75.33,75.02,75.33,3921
2014.03.04 15:30,75.95,76.03,75.58,75.79,4072
2014.03.04 16:31,75.95,75.95,75.76,75.80,5148
2014.03.04 19:30,75.80,75.89,75.65,75.65,4398
2014.03.05 15:30,75.91,76.09,75.55,76.00,4294
2014.03.05 16:31,75.91,75.99,75.68,75.98,6301
2014.03.05 19:30,75.98,76.34,75.96,76.12,5138
2014.03.06 15:30,76.07,76.29,75.78,76.05,2926
2014.03.06 19:30,75.89,75.94,75.68,75.70,3523
2014.03.06 20:31,75.69,75.83,75.63,75.78,2766
2014.03.07 15:30,75.85,75.94,75.21,75.40,5038
2014.03.07 19:30,75.28,75.39,75.10,75.37,4232
2014.03.10 12:00,75.49,76.07,75.47,75.79,2121
2014.03.10 15:30,75.79,76.03,75.59,75.96,3272
2014.03.10 19:30,75.87,75.90,75.71,75.89,2329
2014.03.10 19:31,75.87,75.93,75.75,75.79,2380
2014.03.11 12:00,76.40,76.84,76.39,76.81,2587
2014.03.11 15:30,76.80,76.90,76.72,76.81,4403
2014.03.11 19:30,76.63,76.79,76.48,76.54,4449
2014.03.12 12:00,76.38,76.42,75.96,76.07,2023
2014.03.12 15:30,76.06,76.71,76.03,76.65,3499
2014.03.12 19:30,76.50,76.60,76.32,76.43,2864
2014.03.12 19:31,76.50,76.61,76.31,76.60,2933
2014.03.13 12:00,76.66,77.04,76.40,76.81,2314
2014.03.13 15:30,76.81,76.81,76.43,76.43,5181
2014.03.13 19:30,75.96,76.02,75.71,75.77,3989
2014.03.14 12:00,75.46,75.74,74.98,75.04,1639
2014.03.14 15:30,75.03,75.11,74.67,75.05,4659
